model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,average_gradient_norm,maximum_gradient_norm,best_epoch_so_far,epoch_time_seconds
tropical,1,0.8636783274911979,0.5923788252180817,0.9848084096303832,0.43980099502487563,0.44244244244244246,0.44111776447105794,3.343283582089552,0.0955223880597015,3.23880719805732,26.07526397705078,True,8.309613076969981
tropical,2,0.5830841402554071,0.5319594134670793,0.9850796880298406,0.44975124378109455,0.45245245245245247,0.4510978043912176,3.283582089552239,0.09850746268656717,4.905768544843355,20.98406982421875,True,7.871656761039048
tropical,3,0.5582681270487504,0.5245130184940582,0.9851610715496778,0.4527363184079602,0.45545545545545546,0.4540918163672655,3.265671641791045,0.11044776119402985,5.748060553509572,35.48085403442383,True,7.924734269734472
tropical,4,0.5532961439235993,0.5215699882143916,0.9852695829094609,0.45671641791044776,0.4594594594594595,0.45808383233532934,3.2417910447761193,0.11343283582089553,6.663291740235944,49.38441467285156,True,7.912045896984637
tropical,5,0.5477112688529576,0.5097756216828401,0.9853509664292981,0.4597014925373134,0.4624624624624625,0.4610778443113772,3.2238805970149254,0.11343283582089553,6.068637597379346,36.56514358520508,True,7.957973869051784
tropical,6,0.5356143489426859,0.5116542778729827,0.9851881993896237,0.4537313432835821,0.45645645645645644,0.45508982035928147,3.2597014925373133,0.11641791044776119,5.882786701475908,25.90052604675293,False,7.832151873037219
tropical,7,0.5283466304962443,0.507873123299069,0.9852967107494066,0.4577114427860697,0.46046046046046046,0.4590818363273454,3.235820895522388,0.11641791044776119,5.870414302433808,29.886226654052734,True,7.887971218675375
tropical,8,0.5247227103479418,0.5053766352492052,0.9853509664292981,0.4597014925373134,0.4624624624624625,0.4610778443113772,3.2238805970149254,0.11044776119402985,6.320763258764586,38.00760269165039,True,7.864762108772993
tropical,9,0.5190947734168595,0.5048551564103023,0.9854052221091896,0.4616915422885572,0.4644644644644645,0.4630738522954092,3.2119402985074625,0.11044776119402985,6.024015666869691,25.751815795898438,True,7.968744887970388
tropical,10,0.5086693939060213,0.5041839982522225,0.9855408613089183,0.4666666666666667,0.4694694694694695,0.468063872255489,3.182089552238806,0.11343283582089553,6.407414853875407,36.13654327392578,True,7.904057345818728
tropical,11,0.5090265100579787,0.5057074095538691,0.9857850118684299,0.47562189054726367,0.47847847847847846,0.47704590818363274,3.1283582089552238,0.1253731343283582,6.656006833320947,41.24276351928711,False,7.8756073280237615
tropical,12,0.5039441755152322,0.5027534014823357,0.9856493726687012,0.47064676616915424,0.47347347347347346,0.4720558882235529,3.1582089552238806,0.11641791044776119,6.5934092393381345,43.61248016357422,True,7.930836671963334
tropical,13,0.4941844984311424,0.4996307219837269,0.9857036283485927,0.472636815920398,0.4754754754754755,0.47405189620758487,3.1462686567164178,0.11940298507462686,6.200910931311283,29.03961944580078,True,7.890299953054637
tropical,14,0.4865402910931543,0.49362727553349667,0.9857036283485927,0.472636815920398,0.4754754754754755,0.47405189620758487,3.1462686567164178,0.11940298507462686,5.9614572718663865,30.921798706054688,True,7.769963127095252
