model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical_v2,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,13,0.2777777777777937,8,0,1,5,5,0.8895715409889817,0.8978138780221343,0.6805374659597874,13,0.2777777777777937,9,126,0.03358863573521376,0.7141261016950011,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,14,0.1764705882352943,6,0,2,5,5,0.20344304386526346,0.210359338670969,0.005736620165407658,14,0.1764705882352943,9,126,0.03292302880436182,0.03865964896976948,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,5,0,2,5,4,0.8918941430747509,0.899280414916575,0.0063120173290371895,17,0.10526315789479289,9,126,0.03239473141729832,0.038706748746335506,0,5,2
tropical_v2,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,8,0,1,5,5,0.05514119379222393,0.06158274970948696,0.005424722097814083,13,0.3157894736842105,9,126,0.03290761820971966,0.03833234030753374,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,12,0.2941176470588492,5,0,2,5,4,0.6807833490893245,0.6882995888590813,0.0056961411610245705,17,3.636306941830969e-14,9,126,0.03291915915906429,0.03861530032008886,0,5,2
tropical_v2,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,17,0.150000000000016,8,0,1,5,5,1.0101421400904655,1.0164503464475274,0.005670479498803616,19,0.05000000000001789,9,126,0.03519363794475794,0.040864117443561554,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,11,0.35294117647059053,10,0,0,5,5,0.9230368817225099,0.9294100180268288,0.0058349305763840675,13,0.23529411764706154,9,126,0.03357935603708029,0.039414286613464355,0,8,1
tropical_v2,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,13,0.2777777777777822,10,0,0,5,5,0.5505619337782264,0.557309509254992,0.005762539803981781,18,6.1185624468230474e-15,9,126,0.033149938099086285,0.038912477903068066,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,14,0.26315789473685025,8,0,1,5,5,0.5642370823770761,0.57085488922894,0.005706501193344593,16,0.15789473684211455,9,126,0.03255988098680973,0.038266382180154324,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,7,0,1,5,4,0.9383093919605017,0.9447138896211982,0.0057680001482367516,18,0.10000000000005003,9,126,0.033783335238695145,0.039551335386931896,0,7,1
tropical_v2,shortest_path,wood,13,7,7,,13015,51,188,3.6862745098039214,10,0,50,,,5,15.000000000000018,11,0.26666666666666755,10,0,0,5,5,0.12465543299913406,0.13111435994505882,0.005538602359592915,11,0.26666666666666755,9,126,0.03324681706726551,0.038785419426858425,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13016,51,188,3.6862745098039214,11,0,50,,,5,20.00000000000065,14,0.30000000000002275,10,0,0,5,5,0.583855370990932,0.5901102777570486,0.005707810632884502,18,0.10000000000002926,9,126,0.03307160921394825,0.03877941984683275,0,10,0
tropical_v2,shortest_path,wood,13,7,7,,13017,51,188,3.6862745098039214,12,0,50,,,5,18.000000000011784,12,0.3333333333337698,8,0,1,5,5,0.5536852581426501,0.5601496146991849,0.006097268313169479,15,0.16666666666721225,9,126,0.03259732108563185,0.03869458939880133,0,6,2
tropical_v2,shortest_path,wood,13,7,7,,13018,51,188,3.6862745098039214,13,0,50,,,5,17.000000000000394,13,0.23529411764707656,10,0,0,5,5,0.5307364566251636,0.5388579051941633,0.005676700733602047,13,0.23529411764707656,9,126,0.03388814441859722,0.03956484515219927,0,10,0
