model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,average_gradient_norm,maximum_gradient_norm,best_epoch_so_far,epoch_time_seconds
transformer,1,0.8697519150209022,0.8513875912943882,0.979844776119403,0.3725925925925926,0.3742559523809524,0.3734224201930216,3.7511111111111113,0.07111111111111111,1.9318022070612226,10.013354301452637,True,5.930328043177724
transformer,2,0.7494338703944857,0.8084245273853415,0.9801074626865671,0.38074074074074077,0.38244047619047616,0.3815887156644395,3.7022222222222223,0.06888888888888889,2.57421594279153,13.18057918548584,True,5.459185761399567
transformer,3,0.7377473604230553,0.807047683545013,0.9802746268656717,0.38592592592592595,0.38764880952380953,0.38678544914625096,3.671111111111111,0.07555555555555556,2.395318276768639,8.183545112609863,True,5.519056083634496
transformer,4,0.7322289012495828,0.8035571083595504,0.9806567164179104,0.3977777777777778,0.39955357142857145,0.3986636971046771,3.6,0.08888888888888889,2.516166275796436,10.488052368164062,True,5.491480715572834
transformer,5,0.7221470792159856,0.8083002055830031,0.9807522388059702,0.40074074074074073,0.4025297619047619,0.4016332590942836,3.582222222222222,0.09111111111111111,2.198445625872839,13.205392837524414,False,5.454570175148547
transformer,6,0.713336927493304,0.8026345090759335,0.9806567164179104,0.3977777777777778,0.39955357142857145,0.3986636971046771,3.6,0.09111111111111111,2.2503125183922905,7.656915664672852,True,5.562292607501149
transformer,7,0.7029187148965627,0.8040094078298825,0.9809671641791045,0.4074074074074074,0.40922619047619047,0.40831477357089824,3.542222222222222,0.1,2.3729840557915822,8.438671112060547,False,5.389662297442555
transformer,8,0.7001601614076677,0.7971073319235844,0.980776119402985,0.4014814814814815,0.40327380952380953,0.40237564959168526,3.577777777777778,0.1,2.209729970296224,9.743537902832031,True,5.399034756235778
transformer,9,0.6954509160937128,0.8046215991724783,0.9807044776119404,0.39925925925925926,0.4010416666666667,0.40014847809948034,3.591111111111111,0.09333333333333334,2.4331485149973915,11.840262413024902,False,5.5556635754182935
transformer,10,0.6886650887546932,0.8084958364963531,0.9808,0.4022222222222222,0.40401785714285715,0.40311804008908686,3.5733333333333333,0.09333333333333334,2.488988122712998,13.608125686645508,False,5.529221517965198
transformer,11,0.6869607817315857,0.815486323975805,0.9808477611940298,0.40370370370370373,0.4055059523809524,0.4046028210838901,3.5644444444444443,0.09111111111111111,2.613054526533399,10.473468780517578,False,5.645677943713963
transformer,12,0.6790107975093994,0.8248420781875724,0.9809194029850746,0.4059259259259259,0.40773809523809523,0.40682999257609503,3.551111111111111,0.08888888888888889,2.622552085149856,13.941373825073242,False,5.494129908271134
transformer,13,0.6732439888505958,0.8277024100325001,0.9808716417910448,0.40444444444444444,0.40625,0.40534521158129183,3.56,0.08888888888888889,2.608500201702118,11.037490844726562,False,5.56114402320236
transformer,14,0.6708089627866659,0.8362405477103902,0.9808716417910448,0.40444444444444444,0.40625,0.40534521158129183,3.56,0.09555555555555556,2.789598214739845,15.13757038116455,False,5.547406509518623
transformer,15,0.6657444162736065,0.843813775076795,0.9808477611940298,0.40370370370370373,0.4055059523809524,0.4046028210838901,3.5644444444444443,0.09111111111111111,2.972593692257291,25.472625732421875,False,5.475171533413231
transformer,16,0.6610819697458344,0.8513150496304924,0.9808477611940298,0.40370370370370373,0.4055059523809524,0.4046028210838901,3.5644444444444443,0.09333333333333334,3.0934727889015563,18.04265022277832,False,5.486096733249724
transformer,17,0.6562432252947874,0.8547266100911952,0.980823880597015,0.40296296296296297,0.40476190476190477,0.4038604305864885,3.568888888888889,0.08888888888888889,3.140694054194859,15.955975532531738,False,5.592295224778354
transformer,18,0.6533517008811958,0.8582341196928451,0.9807283582089552,0.4,0.4017857142857143,0.40089086859688194,3.5866666666666664,0.08666666666666667,3.24114096618834,17.59987449645996,False,5.489468275569379
transformer,19,0.6457918778525167,0.8636557454991697,0.9807283582089552,0.4,0.4017857142857143,0.40089086859688194,3.5866666666666664,0.08444444444444445,3.4038145661354067,15.500370979309082,False,5.531209186650813
transformer,20,0.6397968976475513,0.8724449709066704,0.9808477611940298,0.40370370370370373,0.4055059523809524,0.4046028210838901,3.5644444444444443,0.08666666666666667,3.590809737160092,18.00493049621582,False,5.558058761060238
transformer,21,0.6318695318239406,0.8800508153402983,0.9809432835820896,0.4066666666666667,0.40848214285714285,0.4075723830734967,3.546666666666667,0.08888888888888889,3.753503786155156,18.92560577392578,False,5.547602849081159
transformer,22,0.6284979454073019,0.8859485720983192,0.9808955223880597,0.4051851851851852,0.4069940476190476,0.40608760207869343,3.5555555555555554,0.08888888888888889,3.898555009024484,22.173643112182617,False,5.467835142277181
transformer,23,0.6240275052230059,0.8887783461720196,0.9809910447761194,0.40814814814814815,0.4099702380952381,0.4090571640682999,3.537777777777778,0.09333333333333334,3.871931151094891,19.525070190429688,False,5.407053752802312
transformer,24,0.615139471923713,0.8953069574868501,0.9809671641791045,0.4074074074074074,0.40922619047619047,0.40831477357089824,3.542222222222222,0.09111111111111111,3.932019814536685,19.69535255432129,False,5.5922649167478085
transformer,25,0.6078674293521577,0.9049733231494675,0.981110447761194,0.41185185185185186,0.41369047619047616,0.41276911655530807,3.5155555555555558,0.09777777777777778,4.143559355168115,19.20067596435547,False,5.4603756964206696
transformer,26,0.6027949899551551,0.9146320269463667,0.981110447761194,0.41185185185185186,0.41369047619047616,0.41276911655530807,3.5155555555555558,0.09777777777777778,4.37197384425572,31.48441505432129,False,5.558096754364669
transformer,27,0.5939579000401516,0.9273216192224133,0.9810865671641791,0.4111111111111111,0.41294642857142855,0.41202672605790647,3.52,0.09333333333333334,4.518266668773832,20.128995895385742,False,5.454994700849056
transformer,28,0.5947584213639476,0.9372880253186866,0.9809910447761194,0.40814814814814815,0.4099702380952381,0.4090571640682999,3.537777777777778,0.09111111111111111,4.651883168901716,42.202842712402344,False,5.4514631954953074
transformer,29,0.5920821587697958,0.9417367594170927,0.9809671641791045,0.4074074074074074,0.40922619047619047,0.40831477357089824,3.542222222222222,0.09333333333333334,4.802100796018328,36.1693115234375,False,5.640099023468792
transformer,30,0.5823382981872014,0.950943860082484,0.9809432835820896,0.4066666666666667,0.40848214285714285,0.4075723830734967,3.546666666666667,0.1,5.061046085698264,28.08217430114746,False,5.487403193488717
transformer,31,0.58122579552423,0.9638453875869067,0.9809671641791045,0.4074074074074074,0.40922619047619047,0.40831477357089824,3.542222222222222,0.1,5.188393454097566,27.096994400024414,False,5.377885539084673
transformer,32,0.571713298769813,0.973891583823446,0.981110447761194,0.41185185185185186,0.41369047619047616,0.41276911655530807,3.5155555555555558,0.10666666666666667,5.12177984839394,24.38715934753418,False,5.533844104036689
transformer,33,0.5651984370594557,0.9888154789369498,0.9810626865671642,0.4103703703703704,0.41220238095238093,0.4112843355605048,3.5244444444444443,0.10444444444444445,5.320159303233737,30.639455795288086,False,5.61166254337877
transformer,34,0.5643196657422874,1.0056361688606774,0.981110447761194,0.41185185185185186,0.41369047619047616,0.41276911655530807,3.5155555555555558,0.10444444444444445,5.655551310266767,26.860950469970703,False,5.478379274718463
transformer,35,0.5584232758121487,1.0189638167922177,0.9810626865671642,0.4103703703703704,0.41220238095238093,0.4112843355605048,3.5244444444444443,0.10444444444444445,5.647203007879711,25.583826065063477,False,5.56695269420743
transformer,36,0.5496604957149342,1.0350055757209435,0.9810865671641791,0.4111111111111111,0.41294642857142855,0.41202672605790647,3.52,0.10444444444444445,5.743116740272159,21.230281829833984,False,5.545054173097014
transformer,37,0.5507136019208568,1.0514097924374823,0.9810626865671642,0.4103703703703704,0.41220238095238093,0.4112843355605048,3.5244444444444443,0.10444444444444445,6.1863542061760315,33.66352844238281,False,5.572338599711657
transformer,38,0.5495160427244639,1.0587976518495759,0.9811820895522388,0.4140740740740741,0.41592261904761907,0.41499628804751304,3.502222222222222,0.10444444444444445,5.996163243793306,23.404083251953125,False,5.6026687528938055
transformer,39,0.5358559255883308,1.0714788185162332,0.9811820895522388,0.4140740740740741,0.41592261904761907,0.41499628804751304,3.502222222222222,0.10666666666666667,6.046787266050067,28.070539474487305,False,5.3241790710017085
transformer,40,0.5414749650516184,1.078931634764173,0.9812537313432835,0.4162962962962963,0.4181547619047619,0.41722345953971784,3.488888888888889,0.10666666666666667,6.368470981121063,25.951568603515625,False,5.451985363848507
transformer,41,0.5272027602790512,1.09032871504684,0.9812298507462687,0.41555555555555557,0.4174107142857143,0.41648106904231624,3.493333333333333,0.10888888888888888,6.063073455719721,24.876604080200195,False,5.512716268189251
transformer,42,0.5239909244549601,1.102962854225244,0.9812537313432835,0.4162962962962963,0.4181547619047619,0.41722345953971784,3.488888888888889,0.10888888888888888,6.40639328570593,27.16238021850586,False,5.440250807441771
transformer,43,0.5250060167413693,1.1185822070143117,0.9813014925373135,0.4177777777777778,0.41964285714285715,0.41870824053452116,3.48,0.1111111111111111,6.666043054035732,34.93810272216797,False,5.501182230189443
transformer,44,0.5157995523636972,1.1313111298689202,0.9813492537313433,0.4192592592592593,0.4211309523809524,0.4201930215293244,3.471111111111111,0.10666666666666667,6.545033340908232,31.56685447692871,False,5.499762027524412
transformer,45,0.5179117849722771,1.138399933007226,0.9812776119402985,0.41703703703703704,0.41889880952380953,0.4179658500371195,3.4844444444444442,0.1,6.826094728424436,34.823936462402344,False,5.479746708646417
transformer,46,0.5145679243148796,1.147044017044466,0.9813014925373135,0.4177777777777778,0.41964285714285715,0.41870824053452116,3.48,0.1,7.034234723363604,64.18677520751953,False,5.458558534272015
transformer,47,0.5155117679662444,1.1597182465168967,0.9813492537313433,0.4192592592592593,0.4211309523809524,0.4201930215293244,3.471111111111111,0.1,6.885266817297254,37.04706954956055,False,5.653357554227114
transformer,48,0.5030106357301237,1.1725362679068723,0.9813492537313433,0.4192592592592593,0.4211309523809524,0.4201930215293244,3.471111111111111,0.10222222222222223,6.810012009257362,27.0944881439209,False,5.506093269214034
transformer,49,0.495693974969412,1.1860975111918663,0.9813731343283582,0.42,0.421875,0.4209354120267261,3.466666666666667,0.10666666666666667,6.987488703273591,39.414371490478516,False,5.49205167312175
