n_nodes,n_edges,density,replication,attack_limit,interdiction_penalty,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
30,75,2.5,0,1,1,24.0,23,0.041666666666666664,2,0,73,1,1,0.021695386618375778,0.04347043391317129,0.1625988595187664
30,75,2.5,1,1,1,27.0,27,0.0,2,0,73,1,1,0.007767500355839729,0.010243697091937065,0.001689063385128975
30,75,2.5,2,1,1,15.0,15,0.0,2,0,73,1,1,0.00958060473203659,0.011800670996308327,0.001599753275513649
30,75,2.5,3,1,1,17.0,17,0.0,2,0,73,1,1,0.010834518820047379,0.013941257260739803,0.0016103843227028847
30,75,2.5,4,1,1,14.0,14,0.0,2,0,73,1,1,0.009898576885461807,0.012178191915154457,0.0015756739303469658
30,75,2.5,5,1,1,17.0,17,0.0,2,0,73,1,1,0.008768963627517223,0.011017879471182823,0.0015884442254900932
30,75,2.5,6,1,1,14.0,14,0.0,2,0,73,1,1,0.00974197592586279,0.011999791488051414,0.001570994034409523
30,75,2.5,7,1,1,12.0,12,0.0,0,1,75,1,1,0.008240832015872002,0.010458557866513729,0.0015700440853834152
30,75,2.5,8,1,1,11.0,11,0.0,0,1,75,1,1,0.009413435123860836,0.011621590703725815,0.0015877336263656616
30,75,2.5,9,1,1,20.0,20,0.0,2,0,73,1,1,0.006792588159441948,0.008890184573829174,0.0014596432447433472
30,75,2.5,10,1,1,33.0,33,0.0,2,0,73,1,1,0.009350433945655823,0.011487229727208614,0.0015493137761950493
30,75,2.5,11,1,1,27.0,27,0.0,0,1,75,1,1,0.010071727447211742,0.012286641635000706,0.0015505841001868248
30,75,2.5,12,1,1,22.0,21,0.045454545454545456,2,0,73,1,1,0.00953221507370472,0.011709819547832012,0.0015924638137221336
30,75,2.5,13,1,1,6.0,6,0.0,0,1,75,1,1,0.007101858966052532,0.009282424114644527,0.0014957236126065254
30,75,2.5,14,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.011016199365258217,0.013107554987072945,0.0016892747953534126
30,75,2.5,15,1,1,13.0,13,0.0,0,1,75,1,1,0.009255213662981987,0.011562160216271877,0.0015707239508628845
30,75,2.5,16,1,1,21.0,21,0.0,2,0,73,1,1,0.008641622960567474,0.010816299356520176,0.0015743039548397064
30,75,2.5,17,1,1,19.0,19,0.0,2,0,73,1,1,0.007961341179907322,0.010174687020480633,0.0015402240678668022
30,75,2.5,18,1,1,22.0,22,0.0,2,0,73,1,1,0.00986968632787466,0.012052781879901886,0.0015468243509531021
30,75,2.5,19,1,1,8.0,8,0.0,0,1,75,1,1,0.009508924558758736,0.01304832473397255,0.001499083824455738
30,120,4.0,0,1,1,10.0,10,0.0,0,1,120,1,1,0.015526341274380684,0.018470117822289467,0.00371570885181427
30,120,4.0,1,1,1,17.0,16,0.058823529411764705,2,0,118,1,1,0.009381753392517567,0.012407123111188412,0.0015232842415571213
30,120,4.0,2,1,1,16.0,15,0.0625,2,0,118,1,1,0.009259884245693684,0.012122931890189648,0.0014237035065889359
30,120,4.0,3,1,1,13.0,12,0.07692307692307693,2,0,118,1,1,0.016533023677766323,0.01941389124840498,0.0015402836725115776
30,120,4.0,4,1,1,10.0,10,0.0,2,0,118,1,1,0.013305765576660633,0.016251733526587486,0.0015993742272257805
30,120,4.0,5,1,1,14.0,13,0.07142857142857142,2,0,118,1,1,0.011778500862419605,0.014841599389910698,0.0015820041298866272
30,120,4.0,6,1,1,13.0,12,0.07692307692307693,2,0,118,1,1,0.019072950817644596,0.022030077874660492,0.001591503620147705
30,120,4.0,7,1,1,8.0,8,0.0,0,1,120,1,1,0.014869779348373413,0.0178354075178504,0.0015978338196873665
30,120,4.0,8,1,1,17.0,17,0.0,2,0,118,1,1,0.0092544537037611,0.012238462455570698,0.0014193430542945862
30,120,4.0,9,1,1,8.0,8,0.0,0,1,120,1,1,0.009686744771897793,0.012611432932317257,0.0014677541330456734
30,120,4.0,10,1,1,8.0,8,0.0,0,1,120,1,1,0.014482908882200718,0.017377025447785854,0.001562574878334999
30,120,4.0,11,1,1,6.0,6,0.0,0,1,120,1,1,0.016017031855881214,0.019022869877517223,0.0015731742605566978
30,120,4.0,12,1,1,11.0,11,0.0,0,1,120,1,1,0.010998919606208801,0.013963157311081886,0.0015338445082306862
30,120,4.0,13,1,1,4.0,4,0.0,0,1,120,1,1,0.011870351620018482,0.014884889125823975,0.0015671448782086372
30,120,4.0,14,1,1,18.0,18,0.0,2,0,118,1,1,0.020944534800946712,0.02389147225767374,0.0016290144994854927
30,120,4.0,15,1,1,11.0,10,0.09090909090909091,2,0,118,1,1,0.010206107050180435,0.013263325206935406,0.0014709634706377983
30,120,4.0,16,1,1,8.0,8,0.0,2,0,118,1,1,0.015787841752171516,0.01868767850100994,0.0015525436028838158
30,120,4.0,17,1,1,6.0,6,0.0,0,1,120,1,1,0.011708050966262817,0.014744918793439865,0.0015567140653729439
30,120,4.0,18,1,1,12.0,12,0.0,0,1,120,1,1,0.014180687256157398,0.017160515300929546,0.001552443951368332
30,120,4.0,19,1,1,16.0,16,0.0,0,1,120,1,1,0.010159416124224663,0.013161124661564827,0.0014652246609330177
50,125,2.5,0,1,1,27.0,26,0.037037037037037035,2,0,123,1,1,0.012178191915154457,0.015227390453219414,0.0015842942520976067
50,125,2.5,1,1,1,24.0,24,0.0,2,0,123,1,1,0.014528569765388966,0.017662646248936653,0.0015755239874124527
50,125,2.5,2,1,1,28.0,27,0.03571428571428571,2,0,123,1,1,0.012820104137063026,0.015919651836156845,0.0015962738543748856
50,125,2.5,3,1,1,8.0,8,0.0,0,1,125,1,1,0.019580870866775513,0.022759980522096157,0.0016128439456224442
50,125,2.5,4,1,1,25.0,24,0.04,2,0,123,1,1,0.013937805779278278,0.017041455022990704,0.001606515608727932
50,125,2.5,5,1,1,18.0,18,0.0,2,0,123,1,1,0.016010931693017483,0.0191499013453722,0.001577833667397499
50,125,2.5,6,1,1,24.0,24,0.0,0,1,125,1,1,0.009268393740057945,0.012399353086948395,0.001433773897588253
50,125,2.5,7,1,1,9.0,9,0.0,2,0,123,1,1,0.011756591498851776,0.014769059605896473,0.0015479838475584984
50,125,2.5,8,1,1,27.0,27,0.0,2,0,123,1,1,0.012236622162163258,0.015357679687440395,0.0015586139634251595
50,125,2.5,9,1,1,18.0,18,0.0,0,1,125,1,1,0.009506285190582275,0.012588752433657646,0.0014691436663269997
50,125,2.5,10,1,1,8.0,8,0.0,2,0,123,1,1,0.01350751519203186,0.016561074182391167,0.00154909398406744
50,125,2.5,11,1,1,24.0,23,0.041666666666666664,2,0,123,1,1,0.018416217528283596,0.021641316823661327,0.001995665021240711
