model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,epoch_time_seconds
transformer,1,0.9215482138664589,0.9662813927446093,0.9807858709124376,0.4081099456099457,0.4081099456099457,0.4081099456099457,3.543650793650794,0.05357142857142857,4.2807692820206285
transformer,2,0.8396864753159775,0.9400145879813603,0.9807369188416637,0.40864373721516567,0.40864373721516567,0.40864373721516567,3.525793650793651,0.06547619047619048,3.904605960007757
transformer,3,0.8326546208280597,0.933299277332567,0.9815459823969152,0.4275363525363525,0.4275363525363525,0.4275363525363525,3.424603174603175,0.09523809523809523,3.889331334969029
transformer,4,0.8126657386192211,0.9476438581588722,0.981286211220966,0.4226697905269334,0.4226697905269334,0.4226697905269334,3.462301587301587,0.07738095238095238,3.9230033939238638
transformer,5,0.8152789970112936,0.9481756738608792,0.9816845705220391,0.4364112078397793,0.4364112078397793,0.4364112078397793,3.384920634920635,0.09226190476190477,3.877742881188169
transformer,6,0.7959817849515658,0.9554294486130986,0.981374741710732,0.43148637077208507,0.43148637077208507,0.43148637077208507,3.39484126984127,0.08928571428571429,3.9518956299871206
transformer,7,0.7951124392941519,0.915520171324412,0.9818538823907598,0.4426321694178836,0.4426321694178836,0.4426321694178836,3.3412698412698414,0.09821428571428571,3.8908043899573386
transformer,8,0.7961269101213078,0.9460843295036327,0.9816498391476878,0.43945439481153753,0.43945439481153753,0.43945439481153753,3.3511904761904763,0.08630952380952381,3.9344486978370696
transformer,9,0.7803036017239396,0.9292208082264378,0.9811781561302657,0.42947290804433647,0.42947290804433647,0.42947290804433647,3.418650793650794,0.08035714285714286,3.8813181510195136
transformer,10,0.7829464874443064,0.9295551017636344,0.9816570534347374,0.44385198135198134,0.44385198135198134,0.44385198135198134,3.3214285714285716,0.09226190476190477,4.167010986013338
transformer,11,0.7709355347879647,0.93051858601116,0.9818111977072578,0.4420179027321884,0.4420179027321884,0.4420179027321884,3.3531746031746033,0.08928571428571429,4.230019141919911
