model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,5,1,6,1,789.9782540400003,694.0540241159998,0.12142641830131104,2,0,0,1,1,3.2453150236979127,3.422308432869613,0.25402560364454985,694.0540241159998,0.12142641830131104,5,5,0.0421042749658227,0.29612987861037254,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,6,1,7,1,280.08370324500004,184.159473321,0.342484153175065,2,0,0,1,1,3.390057380311191,3.5781948743388057,0.11920335981994867,184.159473321,0.342484153175065,5,5,0.02552813570946455,0.14473149552941322,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,7,1,8,1,255.830073369,159.905843445,0.3749529078453665,2,0,0,1,1,2.5189235666766763,2.7184487767517567,0.11919884011149406,159.905843445,0.3749529078453665,5,5,0.02495245821774006,0.14415129832923412,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,8,1,9,1,256.58074938100003,160.656519457,0.3738559114641953,2,0,0,1,1,2.522149900905788,2.713416760787368,0.11943526938557625,160.656519457,0.3738559114641953,5,5,0.025359376333653927,0.14479464571923018,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,974,1,1077,1,899.1750408960002,803.2508109719998,0.10668026308694555,2,0,0,1,1,3.774580718949437,4.003783084452152,0.11940955091267824,803.2508109719998,0.10668026308694555,5,5,0.030772600322961807,0.15018215123564005,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,5,2,6,1,514.9089634040001,418.98473348000005,0.18629357176044625,2,0,0,1,1,2.626156865619123,2.8423852445557714,0.11945072840899229,418.98473348000005,0.18629357176044625,5,5,0.0295345364138484,0.1489852648228407,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,6,2,7,1,297.811966938,201.887737014,0.32209662664082933,2,0,0,1,1,3.406697948463261,3.614444267936051,0.1196328978985548,201.887737014,0.32209662664082933,5,5,0.024315500631928444,0.14394839853048325,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,7,2,8,1,370.4465909210001,274.522360997,0.2589421316727854,2,0,0,1,1,3.06204950530082,3.281938076019287,0.1191024910658598,274.522360997,0.2589421316727854,5,5,0.02606626320630312,0.14516875427216291,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,8,2,9,1,370.83665136100007,274.912421437,0.25866976624869875,2,0,0,1,1,3.0746923135593534,3.271983583457768,0.11926773935556412,274.912421437,0.25866976624869875,5,5,0.026162692345678806,0.14543043170124292,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,974,2,1077,1,670.4066383000004,574.482408376,0.14308365168823892,2,0,0,1,1,2.766471683047712,2.9769367994740605,0.11943003907799721,574.482408376,0.14308365168823892,5,5,0.030255773104727268,0.14968581218272448,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,5,3,6,1,428.60041319900006,189.22622590600002,0.5585019984146822,2,0,0,1,1,2.5748624745756388,2.775224920362234,0.1191899199038744,189.22622590600002,0.5585019984146822,5,5,0.023178626783192158,0.14236854668706656,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,6,3,7,1,464.7506309100203,368.8264009859999,0.20639935385605132,2,0,0,1,1,3.8591818483546376,4.057088704779744,0.11940482910722494,368.8264009859999,0.20639935385605132,5,5,0.025962794199585915,0.14536762330681086,0,2,0
tropical,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,7,3,8,1,573.7830633230004,477.85883339900016,0.16717856635304956,2,0,0,1,1,2.700871772132814,2.911129300482571,0.11934718023985624,477.85883339900016,0.16717856635304956,5,5,0.027938845567405224,0.14728602580726147,0,2,0
