model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,min_cost_flow,ood_size,10025017,100,250,2.5,12,1,152.0,112,0.2631578947368421,2,0,0,1,1,0.06674490962177515,0.35212104115635157,0.0023878319188952446
transformer,min_cost_flow,ood_size,10025018,100,250,2.5,13,1,443.0,443,0.0,0,1,1,1,1,0.05052441079169512,0.06353629752993584,0.002256651408970356
transformer,min_cost_flow,ood_size,10025019,100,250,2.5,14,1,92.0,84,0.08695652173913043,2,0,0,1,1,0.051838391460478306,0.0640345485880971,0.0022430606186389923
transformer,min_cost_flow,ood_size,10025020,100,250,2.5,15,1,381.0,328,0.13910761154855644,2,0,0,1,1,0.05483158305287361,0.06660096067935228,0.0022625112906098366
transformer,min_cost_flow,ood_size,10025021,100,250,2.5,16,1,421.0,378,0.1021377672209026,2,0,0,1,1,0.045243277214467525,0.05731475353240967,0.002242450602352619
transformer,min_cost_flow,ood_size,10025022,100,250,2.5,17,1,87.0,68,0.21839080459770116,2,0,0,1,1,0.05328248254954815,0.06528172921389341,0.0022596418857574463
transformer,min_cost_flow,ood_size,10025023,100,250,2.5,18,1,144.0,108,0.25,2,0,0,1,1,0.046694918535649776,0.058698455803096294,0.0022546714171767235
transformer,min_cost_flow,ood_size,10025024,100,250,2.5,19,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.048640758730471134,0.06058888603001833,0.0022368524223566055
transformer,min_cost_flow,ood_size,10030005,100,300,3.0,0,1,404.0,344,0.1485148514851485,2,0,0,1,1,0.06186181679368019,0.07977073639631271,0.0023616021499037743
transformer,min_cost_flow,ood_size,10030006,100,300,3.0,1,1,129.0,105,0.18604651162790697,2,0,0,1,1,0.05707609374076128,0.0732421139255166,0.0022570108994841576
transformer,min_cost_flow,ood_size,10030007,100,300,3.0,2,1,447.0,402,0.10067114093959731,2,0,0,1,1,0.07842997647821903,0.09385102614760399,0.0023422418162226677
transformer,min_cost_flow,ood_size,10030008,100,300,3.0,3,1,299.0,214,0.2842809364548495,2,0,0,1,1,0.06286637764424086,0.07885345723479986,0.0023112213239073753
transformer,min_cost_flow,ood_size,10030009,100,300,3.0,4,1,196.0,187,0.04591836734693878,2,0,0,1,1,0.05748806428164244,0.07121969293802977,0.0022711027413606644
transformer,min_cost_flow,ood_size,10030010,100,300,3.0,5,1,284.0,187,0.3415492957746479,2,0,0,1,1,0.06575228925794363,0.0791508574038744,0.002365262247622013
transformer,min_cost_flow,ood_size,10030011,100,300,3.0,6,1,412.0,325,0.2111650485436893,2,0,0,1,1,0.05351840239018202,0.06842021085321903,0.0022580819204449654
transformer,min_cost_flow,ood_size,10030012,100,300,3.0,7,1,416.0,368,0.11538461538461539,2,0,0,1,1,0.06660144031047821,0.08040960785001516,0.002313130535185337
transformer,min_cost_flow,ood_size,10030013,100,300,3.0,8,1,328.0,299,0.08841463414634146,2,0,0,1,1,0.057894534431397915,0.07146857120096684,0.0025008907541632652
transformer,min_cost_flow,ood_size,10030014,100,300,3.0,9,1,246.0,246,0.0,2,0,0,1,1,0.0693882517516613,0.08300917968153954,0.0023086918517947197
transformer,min_cost_flow,ood_size,10030015,100,300,3.0,10,1,534.0,502,0.0599250936329588,2,0,0,1,1,0.07170047238469124,0.08650652226060629,0.0022829417139291763
transformer,min_cost_flow,ood_size,10030016,100,300,3.0,11,1,124.00000000000001,124,1.1460366705808067e-16,2,0,0,1,1,0.10029397998005152,0.11404851824045181,0.0023676715791225433
transformer,min_cost_flow,ood_size,10030017,100,300,3.0,12,1,366.0,338,0.07650273224043716,2,0,0,1,1,0.06887210067361593,0.08550598099827766,0.002287990413606167
transformer,min_cost_flow,ood_size,10030018,100,300,3.0,13,1,388.0,344,0.1134020618556701,2,0,0,1,1,0.3183261714875698,0.3322789389640093,0.0024893619120121002
transformer,min_cost_flow,ood_size,10030019,100,300,3.0,14,1,234.0,198,0.15384615384615385,2,0,0,1,1,0.06170286703854799,0.07617923617362976,0.002289021387696266
transformer,min_cost_flow,ood_size,10030020,100,300,3.0,15,1,280.0,244,0.12857142857142856,2,0,0,1,1,0.07105037197470665,0.08692764211446047,0.0023150425404310226
transformer,min_cost_flow,ood_size,10030021,100,300,3.0,16,1,27.0,18,0.3333333333333333,2,0,0,1,1,0.06882528122514486,0.08511123154312372,0.0023860102519392967
transformer,min_cost_flow,ood_size,10030022,100,300,3.0,17,1,206.0,187,0.09223300970873786,2,0,0,1,1,0.056728774681687355,0.07045888248831034,0.002288561314344406
transformer,min_cost_flow,ood_size,10030023,100,300,3.0,18,1,121.0,80,0.33884297520661155,2,0,0,1,1,0.05698194447904825,0.07118134293705225,0.0022785505279898643
transformer,min_cost_flow,ood_size,10030024,100,300,3.0,19,1,612.0,588,0.0392156862745098,2,0,0,1,1,0.08458270039409399,0.0995570095255971,0.0023670513182878494
transformer,min_cost_flow,ood_size,10040005,100,400,4.0,0,1,92.0,64,0.30434782608695654,2,0,0,1,1,0.09255266562104225,0.11091879568994045,0.0029313620179891586
transformer,min_cost_flow,ood_size,10040006,100,400,4.0,1,1,326.0,270,0.17177914110429449,2,0,0,1,1,0.08218960836529732,0.10045089013874531,0.002402651123702526
transformer,min_cost_flow,ood_size,10040007,100,400,4.0,2,1,39.0,32,0.1794871794871795,2,0,0,1,1,0.0913442438468337,0.1079146945849061,0.0023634713143110275
transformer,min_cost_flow,ood_size,10040008,100,400,4.0,3,1,306.0,262,0.1437908496732026,2,0,0,1,1,0.09106236323714256,0.10824863333255053,0.0023916205391287804
transformer,min_cost_flow,ood_size,10040009,100,400,4.0,4,1,505.0,473,0.06336633663366337,2,0,0,1,1,0.0913363341242075,0.11036819592118263,0.002339491620659828
transformer,min_cost_flow,ood_size,10040010,100,400,4.0,5,1,268.0,268,0.0,0,1,1,1,1,0.08939472399652004,0.10722140409052372,0.002356170676648617
transformer,min_cost_flow,ood_size,10040011,100,400,4.0,6,1,289.0,278,0.03806228373702422,2,0,0,1,1,0.10150805953890085,0.11895477119833231,0.002433330751955509
transformer,min_cost_flow,ood_size,10040012,100,400,4.0,7,1,623.0000000000001,623,1.8248288558846872e-16,0,1,1,1,1,0.13865318335592747,0.15850082505494356,0.0025956016033887863
transformer,min_cost_flow,ood_size,10040013,100,400,4.0,8,1,288.0,282,0.020833333333333332,2,0,0,1,1,0.10084482934325933,0.11959964036941528,0.002372381277382374
transformer,min_cost_flow,ood_size,10040014,100,400,4.0,9,1,325.0,300,0.07692307692307693,2,0,0,1,1,0.09224651474505663,0.10970620438456535,0.0023923804983496666
transformer,min_cost_flow,ood_size,10040015,100,400,4.0,10,1,68.0,58,0.14705882352941177,2,0,0,1,1,0.08411865122616291,0.1027975520119071,0.0023481911048293114
transformer,min_cost_flow,ood_size,10040016,100,400,4.0,11,1,446.0,370,0.17040358744394618,2,0,0,1,1,0.09604423772543669,0.3746329350396991,0.002496040426194668
transformer,min_cost_flow,ood_size,10040017,100,400,4.0,12,1,546.0,546,0.0,0,1,1,1,1,0.0997519101947546,0.11773356143385172,0.0023735519498586655
transformer,min_cost_flow,ood_size,10040018,100,400,4.0,13,1,183.0,183,0.0,0,1,1,1,1,0.09850193932652473,0.11697134003043175,0.0023367619141936302
transformer,min_cost_flow,ood_size,10040019,100,400,4.0,14,1,479.0,414,0.13569937369519833,2,0,0,1,1,0.10124229080975056,0.11939180083572865,0.0023646121844649315
transformer,min_cost_flow,ood_size,10040020,100,400,4.0,15,1,339.0,249,0.26548672566371684,2,0,0,1,1,0.09410950727760792,0.1142014293000102,0.0023413309827446938
transformer,min_cost_flow,ood_size,10040021,100,400,4.0,16,1,294.0,294,0.0,0,1,1,1,1,0.0918826749548316,0.11215062718838453,0.00236648041754961
transformer,min_cost_flow,ood_size,10040022,100,400,4.0,17,1,268.0,268,0.0,0,1,1,1,1,0.09058550465852022,0.11150614731013775,0.002341090701520443
transformer,min_cost_flow,ood_size,10040023,100,400,4.0,18,1,314.00000000000006,314,1.81029996372e-16,0,1,1,1,1,0.09553066734224558,0.11348241753876209,0.0023575713858008385
transformer,min_cost_flow,ood_size,10040024,100,400,4.0,19,1,291.00000000000006,261,0.10309278350515481,2,0,0,1,1,0.11317527759820223,0.13112534768879414,0.0023721111938357353
transformer,min_cost_flow,ood_size,10050005,100,500,5.0,0,1,123.00000000000001,115,0.06504065040650417,2,0,0,1,1,0.15436461195349693,0.17650960572063923,0.0029271813109517097
transformer,min_cost_flow,ood_size,10050006,100,500,5.0,1,1,539.0000000000006,539,1.0546088842450455e-15,0,1,1,1,1,0.2252867454662919,0.24549394752830267,0.0024080313742160797
transformer,min_cost_flow,ood_size,10050007,100,500,5.0,2,1,476.0000000000001,455,0.044117647058823754,2,0,0,1,1,0.13361136987805367,0.15398643165826797,0.002394941635429859
transformer,min_cost_flow,ood_size,10050008,100,500,5.0,3,1,178.0,178,0.0,0,1,1,1,1,0.10854215547442436,0.12872294709086418,0.002378511242568493
transformer,min_cost_flow,ood_size,10050009,100,500,5.0,4,1,205.0,205,0.0,0,1,1,1,1,0.10783956479281187,0.12758627720177174,0.002347840927541256
transformer,min_cost_flow,ood_size,10050010,100,500,5.0,5,1,42.0,34,0.19047619047619047,2,0,0,1,1,0.1381838135421276,0.15831264480948448,0.0023862412199378014
transformer,min_cost_flow,ood_size,10050011,100,500,5.0,6,1,212.0,197,0.07075471698113207,2,0,0,1,1,0.3945123767480254,0.4145391480997205,0.0024244720116257668
transformer,min_cost_flow,ood_size,10050012,100,500,5.0,7,1,84.0,84,0.0,0,1,1,1,1,0.1252296157181263,0.1452462561428547,0.0023885807022452354
transformer,min_cost_flow,ood_size,10050013,100,500,5.0,8,1,430.0,428,0.004651162790697674,2,0,0,1,1,0.1399315446615219,0.16043924633413553,0.0023931022733449936
transformer,min_cost_flow,ood_size,10050014,100,500,5.0,9,1,654.0,654,0.0,0,1,1,1,1,0.13800055161118507,0.15879390574991703,0.002384302206337452
transformer,min_cost_flow,ood_size,10050015,100,500,5.0,10,1,410.0,407,0.007317073170731708,2,0,0,1,1,0.13131324853748083,0.15595353487879038,0.0023930417373776436
transformer,min_cost_flow,ood_size,10050016,100,500,5.0,11,1,175.0,154,0.12,2,0,0,1,1,0.16046691592782736,0.18132182955741882,0.002394741401076317
transformer,min_cost_flow,ood_size,10050017,100,500,5.0,12,1,674.0,593,0.1201780415430267,2,0,0,1,1,0.1018896009773016,0.12351613398641348,0.0023595010861754417
transformer,min_cost_flow,ood_size,10050018,100,500,5.0,13,1,186.0,173,0.06989247311827956,2,0,0,1,1,0.13734538294374943,0.16059832740575075,0.0023957621306180954
transformer,min_cost_flow,ood_size,10050019,100,500,5.0,14,1,308.0,308,0.0,0,1,1,1,1,0.11417654901742935,0.13481421116739511,0.002329280599951744
transformer,min_cost_flow,ood_size,10050020,100,500,5.0,15,1,216.00000000000014,207,0.041666666666667296,2,0,0,1,1,0.2288335980847478,0.24934007041156292,0.0023862626403570175
transformer,min_cost_flow,ood_size,10050021,100,500,5.0,16,1,246.0,229,0.06910569105691057,2,0,0,1,1,0.16021090559661388,0.17993771750479937,0.0024050408974289894
transformer,min_cost_flow,ood_size,10050022,100,500,5.0,17,1,154.0,154,0.0,0,1,1,1,1,0.109122134745121,0.13230510894209146,0.0023419903591275215
transformer,min_cost_flow,ood_size,10050023,100,500,5.0,18,1,247.0,220,0.10931174089068826,2,0,0,1,1,0.3841091599315405,0.4041790720075369,0.0024073608219623566
transformer,min_cost_flow,ood_size,10050024,100,500,5.0,19,1,253.0,210,0.16996047430830039,2,0,0,1,1,0.13039779756218195,0.15431668236851692,0.0023833010345697403
transformer,min_cost_flow,ood_size,10060005,100,600,6.0,0,1,423.0,409,0.03309692671394799,2,0,0,1,1,0.15801846515387297,0.18482463154941797,0.0025560110807418823
transformer,min_cost_flow,ood_size,10060006,100,600,6.0,1,1,441.0,437,0.009070294784580499,2,0,0,1,1,0.48059112671762705,0.5058134822174907,0.0025791916996240616
transformer,min_cost_flow,ood_size,10060007,100,600,6.0,2,1,409.0,356,0.1295843520782396,2,0,0,1,1,0.14143672492355108,0.16644721943885088,0.002387820743024349
transformer,min_cost_flow,ood_size,10060008,100,600,6.0,3,1,320.0,320,0.0,0,1,1,1,1,0.1659512585029006,0.18989415373653173,0.002383721061050892
transformer,min_cost_flow,ood_size,10060009,100,600,6.0,4,1,74.0,66,0.10810810810810811,2,0,0,1,1,0.16396586783230305,0.18723773211240768,0.0023968713358044624
transformer,min_cost_flow,ood_size,10060010,100,600,6.0,5,1,631.0000000000002,631,3.6033862986249124e-16,0,1,1,1,1,0.25811764504760504,0.2822536788880825,0.002555450424551964
transformer,min_cost_flow,ood_size,10060011,100,600,6.0,6,1,366.0,366,0.0,0,1,1,1,1,0.13683270197361708,0.1614874778315425,0.0023845918476581573
transformer,min_cost_flow,ood_size,10060012,100,600,6.0,7,1,469.0000000000002,469,4.848052781305586e-16,0,1,1,1,1,0.42147231195122004,0.44760340824723244,0.0024167923256754875
transformer,min_cost_flow,ood_size,10060013,100,600,6.0,8,1,214.00000000000003,214,1.328117263102991e-16,0,1,1,1,1,0.4330361494794488,0.4568012338131666,0.002483980730175972
transformer,min_cost_flow,ood_size,10060014,100,600,6.0,9,1,176.0,144,0.18181818181818182,2,0,0,1,1,0.16780238039791584,0.19160931464284658,0.0024120109155774117
transformer,min_cost_flow,ood_size,10060015,100,600,6.0,10,1,200.0,151,0.245,2,0,0,1,1,0.13079478777945042,0.15468549262732267,0.002418631687760353
transformer,min_cost_flow,ood_size,10060016,100,600,6.0,11,1,264.0,264,0.0,0,1,1,1,1,0.15317312255501747,0.18134852778166533,0.0023984424769878387
transformer,min_cost_flow,ood_size,10060017,100,600,6.0,12,1,355.0,355,0.0,0,1,1,1,1,0.1365928128361702,0.16556513868272305,0.0023968610912561417
