model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,epoch_time_seconds
edge_transformer,1,0.923392434441854,0.9044048247513947,0.9835791208925335,0.3698159423486222,0.37673989288368387,0.372913894524573,3.435185185185185,0.08888888888888889,13.056271063163877
edge_transformer,2,0.879452567890523,0.8747612296431153,0.9836800246030125,0.37240446493714463,0.37929122015723316,0.3754893992807039,3.412962962962963,0.08703703703703704,13.290947299916297
edge_transformer,3,0.8494715812187347,0.8513425847998372,0.9841676552243093,0.3955956637165787,0.4040352693784066,0.3993715867426871,3.3055555555555554,0.09814814814814815,13.02777745993808
edge_transformer,4,0.8239839351129911,0.8382007566867051,0.9844371133415145,0.404144168588613,0.4120938732049842,0.4076991876901136,3.2574074074074075,0.10740740740740741,13.109012672677636
edge_transformer,5,0.809477897177613,0.8064231479609454,0.9845222966835109,0.4082155426273072,0.41655977041597947,0.41195011331576686,3.238888888888889,0.10185185185185185,12.994117492809892
edge_transformer,6,0.776007551002124,0.8185369778562475,0.9843240333612006,0.3975246007925747,0.40555901493809987,0.40111954215944035,3.275925925925926,0.0962962962962963,13.068535550963134
edge_transformer,7,0.7799969889578365,0.8036184004059544,0.9844880842206734,0.4037965985841803,0.41166474895233063,0.4073174265816356,3.2537037037037035,0.09814814814814815,13.032582650892437
edge_transformer,8,0.783148543347442,0.8081556702101672,0.9842986478692791,0.39788669149780276,0.4056907393018505,0.4013768697388019,3.2796296296296297,0.09444444444444444,13.112276297062635
edge_transformer,9,0.770183587712901,0.7895351959599389,0.9844509849685822,0.40192373772439133,0.41011274008006027,0.4055855150093337,3.25,0.0962962962962963,13.228230697102845
edge_transformer,10,0.7590317836829594,0.7746581269635094,0.9847558732788516,0.4146446485008577,0.42282144084431666,0.4183049402586277,3.1944444444444446,0.11296296296296296,13.10330834100023
edge_transformer,11,0.7541840572442328,0.7744103508966941,0.9845385782382531,0.40538632875234193,0.4130715961598315,0.40882805889292156,3.2425925925925925,0.10555555555555556,13.206479624845088
edge_transformer,12,0.753036434711918,0.7932611178468775,0.9842387043571063,0.3920292567514791,0.3997643817088263,0.3954962318581639,3.3055555555555554,0.09814814814814815,13.13376242481172
edge_transformer,13,0.749166538270693,0.7939731831903811,0.9839821815605879,0.3863376819259174,0.3936390533939555,0.3896114072318256,3.346296296296296,0.08888888888888889,13.006551539059728
edge_transformer,14,0.7530393056216694,0.7863146726731901,0.9847691335761313,0.414295360896668,0.42279974745661014,0.41810657649869015,3.1907407407407407,0.09814814814814815,13.050879910588264
edge_transformer,15,0.7505040441831899,0.7903823561138577,0.9843710743562794,0.39984647040202603,0.4078072133627689,0.4034064718239594,3.272222222222222,0.1,13.01996455527842
edge_transformer,16,0.7482302548511633,0.7939171784453922,0.9844354530314036,0.3973776634887746,0.4053645223089667,0.4009533227561149,3.2685185185185186,0.1,13.162289131898433
edge_transformer,17,0.7411987038831862,0.8001241981983185,0.9844102007328177,0.4024833663068957,0.410567566057762,0.4061014331202278,3.2574074074074075,0.09259259259259259,13.080388261005282
edge_transformer,18,0.7445916075555105,0.776372966059932,0.9845940656524308,0.4062586022063148,0.4142997277474403,0.4098546197604411,3.227777777777778,0.10185185185185185,13.27869378682226
edge_transformer,19,0.7353755122612393,0.802617820766237,0.9842789907139555,0.39328700711053666,0.4013335593237555,0.3968869439278415,3.2944444444444443,0.08333333333333333,13.150325486902148
edge_transformer,20,0.7366722722848257,0.7775055203172896,0.984498856745128,0.40223774047303473,0.41055295406602604,0.40596110082150955,3.25,0.08703703703703704,13.032833645585924
edge_transformer,21,0.7335929072565502,0.7805019959255501,0.9846697904103655,0.4066712844163825,0.4148452503681262,0.410330546667942,3.2203703703703703,0.09074074074074075,13.097980779130012
edge_transformer,22,0.7301408702418918,0.8067108032880006,0.984607149442623,0.40688238897389234,0.4150322740682219,0.4105355420861289,3.227777777777778,0.1,13.067717521917075
edge_transformer,23,0.7305893979848377,0.7631735349142993,0.9842819840896033,0.3943100478557995,0.40251770439678936,0.3979861800605303,3.287037037037037,0.09074074074074075,13.033650900237262
edge_transformer,24,0.7325458103938708,0.7691892294972031,0.9845701097907282,0.40308774437859424,0.4111749966325131,0.40670727751179164,3.2425925925925925,0.1,13.044603115879
edge_transformer,25,0.729017168638252,0.7813500056664149,0.9845360910934845,0.40369827703161043,0.4120203047980826,0.40742240989642775,3.2462962962962965,0.09259259259259259,13.124068842735142
edge_transformer,26,0.7324628416862753,0.7928724196222093,0.9840641465497967,0.38641753731623024,0.394382689448049,0.38997828150174985,3.338888888888889,0.08518518518518518,12.806276745162904
edge_transformer,27,0.7209267234518415,0.7874571091598934,0.9843793826760363,0.3981181750952993,0.4062288298726207,0.4017478555112273,3.275925925925926,0.09259259259259259,13.15002757217735
edge_transformer,28,0.7233255692181133,0.7748163642706695,0.9846637994895692,0.4084520550860421,0.4165093475877791,0.4120620770960078,3.2203703703703703,0.10185185185185185,13.199864342343062
edge_transformer,29,0.727043425043424,0.7622490222807283,0.9843036192246865,0.3949315837877931,0.40297904044636074,0.39853131432808847,3.283333333333333,0.09444444444444444,13.093678350094706
edge_transformer,30,0.7299858732119439,0.7649669491582447,0.9845591475200123,0.4028970648088296,0.4112066975629067,0.40662060126403266,3.2425925925925925,0.09074074074074075,13.161084523890167
edge_transformer,31,0.7165647605108836,0.7698679999068931,0.9842697565137525,0.39608529633039447,0.40376751123483157,0.3995255601511088,3.283333333333333,0.09259259259259259,13.185356472153217
edge_transformer,32,0.718265383371285,0.8054668196925411,0.9844059860150857,0.39764055479741756,0.4057556187458148,0.4012735558998775,3.2685185185185186,0.09259259259259259,12.98689166130498
edge_transformer,33,0.7210414581355594,0.773675493840818,0.9844189670937933,0.4008703599716671,0.4091158901616417,0.4045641528282471,3.261111111111111,0.0962962962962963,13.061028840020299
edge_transformer,34,0.7144841305083699,0.7724726509164881,0.984381014959392,0.39988792072125395,0.40806426084203856,0.4035496359161267,3.275925925925926,0.1037037037037037,12.967959452886134
edge_transformer,35,0.720043926626917,0.7518024764679097,0.9847976115380881,0.41445521133429664,0.42277162742849034,0.41818194349639914,3.1944444444444446,0.10925925925925926,13.101417584810406
edge_transformer,36,0.7149815505222669,0.7570917222234937,0.9847352915322574,0.41311155801351884,0.4213218148348867,0.4167896738173847,3.1944444444444446,0.10185185185185185,12.970538798253983
edge_transformer,37,0.7128754458730183,0.7767542673481835,0.984654502109273,0.4084014472576565,0.41648519478584844,0.41202003135025833,3.2203703703703703,0.10740740740740741,13.097268728073686
edge_transformer,38,0.7102200456554928,0.7673704549118324,0.9842123312391841,0.39387787835500265,0.40186224995048525,0.3974540933162269,3.3055555555555554,0.09074074074074075,13.039442810229957
edge_transformer,39,0.7047815486315697,0.7632078389326732,0.9847195750292629,0.4072650558108076,0.41564082613102227,0.4110135741649472,3.2203703703703703,0.1,12.946379099972546
edge_transformer,40,0.71160793781044,0.8184398595933561,0.9846671353751356,0.4123451095019723,0.4207267587169548,0.4160970298400208,3.212962962962963,0.1111111111111111,13.068392004817724
edge_transformer,41,0.7062265053864509,0.767555179198583,0.9844422705914592,0.4032788550108813,0.4115311685409725,0.4069758435743606,3.2574074074074075,0.08703703703703704,12.916017190087587
edge_transformer,42,0.7037223213248782,0.7594383732036308,0.9846597003204021,0.4089276361498584,0.4172989972989972,0.4126754117404118,3.212962962962963,0.1037037037037037,13.208723289892077
edge_transformer,43,0.7056891534300077,0.7816128410674907,0.9842124234003252,0.3919494364265607,0.40003759312582843,0.39556876328274876,3.3055555555555554,0.08518518518518518,12.986451337113976
edge_transformer,44,0.7045464456554443,0.7785467134581672,0.9845489384331795,0.4001287691973967,0.40850691368665226,0.4038797404948495,3.2462962962962965,0.09814814814814815,13.131387078203261
edge_transformer,45,0.7070618273956435,0.7818901170183111,0.9845641777849319,0.40457797951262026,0.41278077465985985,0.40825784391082737,3.2314814814814814,0.1037037037037037,13.094245867338032
edge_transformer,46,0.7117028670651572,0.7724254667758942,0.9846393205472966,0.40948941279006634,0.41747378438554905,0.4130744960759485,3.216666666666667,0.09814814814814815,13.111618360038847
edge_transformer,47,0.6987206189641877,0.7846646361880832,0.9847515120501376,0.4097092063105135,0.41797813902389064,0.4134131464498241,3.2092592592592593,0.1037037037037037,13.297850219998509
edge_transformer,48,0.6895421510414471,0.7819252496516264,0.984375075675149,0.3967319348528499,0.404918563039478,0.4003968886373846,3.2907407407407407,0.09814814814814815,13.536404019221663
edge_transformer,49,0.7060987515345453,0.763946517529311,0.9845747157217987,0.4055389321402395,0.41386959324867834,0.4092671114149003,3.238888888888889,0.1,13.03736052988097
