model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,epoch_time_seconds
transformer,1,0.8691209573121298,0.8247751701761175,0.9839782836543288,0.3994700675746427,0.40179720545733616,0.40057443087128936,3.301851851851852,0.10185185185185185,7.048075148020871
transformer,2,0.8158580855244681,0.8011536121368408,0.9844448571631458,0.4120266897227681,0.41424416360690874,0.413079442885016,3.2203703703703703,0.09444444444444444,6.785194547963329
transformer,3,0.8123090047211874,0.7931725908208777,0.9845974397937162,0.4131844474818332,0.4155625734710704,0.4143120186544884,3.1944444444444446,0.12222222222222222,6.893719057086855
transformer,4,0.8114380702376366,0.7748597491670538,0.9851048024629306,0.43369220830005145,0.43655737810966566,0.43504976101795967,3.087037037037037,0.1259259259259259,6.942656998056918
transformer,5,0.7956076262252672,0.8403520363348501,0.9848083116508096,0.4252245339990438,0.42770904537244403,0.42640336329608225,3.1425925925925924,0.12222222222222222,6.887166341999546
transformer,6,0.7964832243701768,0.762077494903847,0.9850714805684948,0.43224356435140737,0.43497894625345596,0.4335395615829236,3.0944444444444446,0.14074074074074075,6.9436850809725
transformer,7,0.7876732966493046,0.7786715081444493,0.9846592232588859,0.4147983171512584,0.41731177077582315,0.41598857732746275,3.1796296296296296,0.12407407407407407,7.005123607930727
transformer,8,0.7796643240584268,0.7847587536882471,0.9852869671326626,0.4428296715388218,0.4455821248468307,0.4441341478024659,3.0388888888888888,0.1425925925925926,7.006778503069654
transformer,9,0.7779309623771243,0.7790553060946641,0.9852348745058442,0.44502509352182557,0.4478084110273654,0.4463445040745976,3.0574074074074074,0.13518518518518519,6.805297935963608
transformer,10,0.7753041195964057,0.7766463800712868,0.9850024892103348,0.42874583779812525,0.43140965546194293,0.43000730442462104,3.112962962962963,0.13703703703703704,6.927527276100591
transformer,11,0.769371379072231,0.7578244515039303,0.9849563036614738,0.43708204709838705,0.4398345004063959,0.4383865233620311,3.112962962962963,0.11851851851851852,6.948151872958988
transformer,12,0.765978952390807,0.775388510801174,0.9851808871539047,0.44679945931579923,0.44965479328224434,0.4481523500069427,3.075925925925926,0.1425925925925926,6.935773920966312
transformer,13,0.7625444672883503,0.7876528742136779,0.9856035675775765,0.45785320162771165,0.4607393997916876,0.45922102660798303,2.9685185185185183,0.14444444444444443,6.944000608054921
transformer,14,0.7655739858510002,0.8015541029197198,0.9855306031854318,0.45253791476013705,0.4553972056749835,0.4538925986815157,2.97962962962963,0.1425925925925926,6.958172073005699
transformer,15,0.7587357870406575,0.7730384703035708,0.9854427725470497,0.4480964139951069,0.45088956734381586,0.4494204865746436,3.012962962962963,0.13518518518518519,6.987110211048275
transformer,16,0.7631101410303797,0.772091759134222,0.9854559518345091,0.45365580437475866,0.4562745128268004,0.45489693192177555,2.9944444444444445,0.13333333333333333,6.958442309987731
transformer,17,0.7613812037758411,0.7537974264886644,0.9854289840551547,0.4564278265912253,0.4593591339669772,0.4578159906509756,3.0055555555555555,0.1537037037037037,6.916999125969596
transformer,18,0.7536656388687709,0.7582319025640134,0.9854357417695846,0.4558833329584965,0.45850204141053824,0.4571244605055133,2.9944444444444445,0.14814814814814814,6.955191700020805
transformer,19,0.7512866717009318,0.7998286251668577,0.9846416344379221,0.4255828745207832,0.4283353278287921,0.4268873507844273,3.175925925925926,0.11666666666666667,6.951815590029582
transformer,20,0.7519530588199221,0.7895075182120005,0.9853353779984039,0.44780603262629404,0.4504864694733976,0.44907702875156663,3.0166666666666666,0.14074074074074075,6.853290493949316
transformer,21,0.7458671818176905,0.7507622668036709,0.9855997983471495,0.45806817788843934,0.46088235959150997,0.4594025227303392,2.9685185185185183,0.14444444444444443,6.815722586936317
transformer,22,0.7426873340847946,0.8015376337148525,0.9855287193224352,0.4538488333259574,0.4566052435823677,0.45515510281983673,2.97962962962963,0.1388888888888889,6.829783524037339
transformer,23,0.7418694015296678,0.8242949108282726,0.9857263014276256,0.4623474788344072,0.46505877987904154,0.4636334092488075,2.938888888888889,0.14814814814814814,6.933816346921958
transformer,24,0.7461349855339716,0.7543424835911503,0.9858553246781118,0.4675623771048609,0.47052059172974225,0.4689636822235039,2.9203703703703705,0.1574074074074074,6.839631934999488
transformer,25,0.7430705208863531,0.7803492548289123,0.9856353629288904,0.4603614268810348,0.4631447443865746,0.4616808374338068,2.9611111111111112,0.14814814814814814,6.986705063958652
transformer,26,0.7459679703863841,0.7734675777179224,0.9855111804606692,0.45820821093696906,0.46106354490341417,0.4595611016281126,2.9944444444444445,0.15,7.0117089949781075
transformer,27,0.7408257745679409,0.7626116114634055,0.9853526363826124,0.4537582739216726,0.45658229146791235,0.4550972807903371,3.0055555555555555,0.1388888888888889,6.972908425028436
transformer,28,0.7339594751596451,0.7606019811497794,0.9854958231375758,0.45444297895278296,0.45726699649902275,0.45578198582144747,2.987037037037037,0.1425925925925926,6.8757121519884095
transformer,29,0.7424123398131794,0.7747215347157584,0.9855703785084655,0.4580310236846185,0.4609579218892945,0.4594184449807825,2.975925925925926,0.14444444444444443,6.8717648149468005
transformer,30,0.7382924617992507,0.760429796245363,0.9850655477147461,0.43474161761743463,0.4375700443347503,0.4360813672496855,3.087037037037037,0.13518518518518519,6.832026949967258
transformer,31,0.7368687380400915,0.7614330834812588,0.9851001769699022,0.43678081601284213,0.43939952446488384,0.43802194355985896,3.0685185185185184,0.13148148148148148,7.026603849953972
transformer,32,0.7345197365870552,0.7571369873152839,0.985733769117259,0.4626547846972684,0.4654381022028081,0.46397419525004036,2.946296296296296,0.1574074074074074,6.907307120971382
transformer,33,0.7418674839157907,0.7524504628446367,0.9853451484865408,0.44578750588554505,0.4485708233910848,0.44710691643831696,3.0277777777777777,0.1388888888888889,7.026430112076923
transformer,34,0.7304840302893094,0.7538174234054706,0.9853737661988522,0.4486496510025922,0.45141589710217156,0.44996058252323623,3.0166666666666666,0.14814814814814814,6.864138060016558
transformer,35,0.7318701815510553,0.7579638375176324,0.9851699391603922,0.4421338592417024,0.44485544835218044,0.44342340121621865,3.061111111111111,0.13703703703703704,6.9148644170491025
transformer,36,0.7371004482346868,0.7802579157882267,0.9855552494356602,0.4566643523506269,0.4595814147121337,0.4580471116200261,2.97962962962963,0.14814814814814814,6.762867475044914
