n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
100,250,2.5,0,1,50.0,50,0.0,0,1,1,1,1,0.0787922510644421,0.1033163929823786,0.5548112029209733
100,250,2.5,1,1,24.0,24,0.0,0,1,1,1,1,0.049673170084133744,0.05558794399257749,0.005042216973379254
100,250,2.5,2,1,16.0,16,0.0,2,0,0,1,1,0.07558280497323722,0.0811711399583146,0.004965857951901853
100,250,2.5,3,1,40.0,37,0.075,2,0,0,1,1,0.0619460049783811,0.06749049108475447,0.004900187952443957
100,250,2.5,4,1,40.0,37,0.075,2,0,0,1,1,0.3326589270727709,0.33825879194773734,0.004966008011251688
100,250,2.5,5,1,14.0,13,0.07142857142857142,2,0,0,1,1,0.05301511497236788,0.0586138810031116,0.0048893491039052606
100,250,2.5,6,1,30.0,29,0.03333333333333333,2,0,0,1,1,0.4931945860153064,0.49887149001006037,0.00547745602671057
100,250,2.5,7,1,24.0,24,0.0,0,1,1,1,1,0.036347868968732655,0.04232668306212872,0.004904789035208523
100,250,2.5,8,1,24.0,24,0.0,2,0,0,1,1,0.05277432594448328,0.0582788719329983,0.004875647951848805
100,250,2.5,9,1,36.0,36,0.0,0,1,1,1,1,0.05027813697233796,0.05586999305523932,0.004889048053883016
100,250,2.5,10,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.043560396996326745,0.04902727191802114,0.004912288044579327
100,250,2.5,11,1,38.0,33,0.13157894736842105,2,0,0,1,1,0.06731114094145596,0.07283779804129153,0.004913977929390967
100,250,2.5,12,1,46.0,46,0.0,0,1,1,1,1,0.06890934403054416,0.07451189996208996,0.004940438084304333
100,250,2.5,13,1,40.0,33,0.175,2,0,0,1,1,0.048169247107580304,0.05368631205055863,0.004872988909482956
100,250,2.5,14,1,30.0,23,0.23333333333333334,2,0,0,1,1,0.04643670504447073,0.05203111004084349,0.0048796189948916435
100,250,2.5,15,1,42.0,37,0.11904761904761904,2,0,0,1,1,0.0632092299638316,0.06869631505105644,0.00492589792702347
100,250,2.5,16,1,14.0,14,0.0,0,1,1,1,1,0.04627043509390205,0.05181243002880365,0.004843039088882506
100,250,2.5,17,1,30.0,25,0.16666666666666666,2,0,0,1,1,0.047894427087157965,0.053383863996714354,0.004902109038084745
100,250,2.5,18,1,30.0,26,0.13333333333333333,2,0,0,1,1,0.07282167801167816,0.07832042302470654,0.004930258961394429
100,250,2.5,19,1,27.0,27,0.0,0,1,1,1,1,0.04067088000010699,0.046139074955135584,0.004876388004049659
100,400,4.0,0,1,13.0,12,0.07692307692307693,2,0,0,1,1,0.11935018096119165,0.1273294260026887,0.005069797043688595
100,400,4.0,1,1,24.0,23,0.041666666666666664,2,0,0,1,1,0.12192267994396389,0.1299277450889349,0.004998788004741073
100,400,4.0,2,1,17.0,17,0.0,0,1,1,1,1,0.11322157899849117,0.12139601202216,0.00496404804289341
100,400,4.0,3,1,23.0,23,0.0,0,1,1,1,1,0.11674803192727268,0.12491776701062918,0.004995088092982769
100,400,4.0,4,1,23.0,23,0.0,0,1,1,1,1,0.07705608906690031,0.08524238201789558,0.004951598006300628
100,400,4.0,5,1,28.0,28,0.0,0,1,1,1,1,0.10650155798066407,0.11492193094454706,0.004984357976354659
100,400,4.0,6,1,22.0,22,0.0,0,1,1,1,1,0.0768661490874365,0.08495415397919714,0.0049955680733546615
100,400,4.0,7,1,18.0,18,0.0,0,1,1,1,1,0.11805666703730822,0.1262993710115552,0.005004966980777681
100,400,4.0,8,1,23.0,23,0.0,0,1,1,1,1,0.10951396403834224,0.11761256901081651,0.005031328066252172
100,400,4.0,9,1,16.0,16,0.0,0,1,1,1,1,0.11453946295659989,0.12281803600490093,0.004990818095393479
100,400,4.0,10,1,16.0,13,0.1875,2,0,0,1,1,0.11574292706791312,0.12403569102752954,0.0049944279016926885
100,400,4.0,11,1,30.0,30,0.0,2,0,0,1,1,0.11725195101462305,0.12530225503724068,0.004993997979909182
100,400,4.0,12,1,13.0,5,0.6153846153846154,2,0,0,1,1,0.0689225250389427,0.07698383904062212,0.004984218045137823
100,400,4.0,13,1,17.0,17,0.0,0,1,1,1,1,0.0692176939919591,0.07732369797304273,0.004943837993778288
100,400,4.0,14,1,21.0,21,0.0,0,1,1,1,1,0.07816572394222021,0.08613404899369925,0.004933598102070391
100,400,4.0,15,1,10.0,10,0.0,2,0,0,1,1,0.06846647697966546,0.07680977007839829,0.0052035769913345575
100,400,4.0,16,1,18.0,13,0.2777777777777778,2,0,0,1,1,0.06919479300267994,0.07789534493349493,0.005040957010351121
100,400,4.0,17,1,22.0,22,0.0,0,1,1,1,1,0.11321579804643989,0.12143207201734185,0.005032426910474896
100,400,4.0,18,1,21.0,16,0.23809523809523808,2,0,0,1,1,0.07292276702355593,0.0809761208947748,0.0050025180680677295
100,400,4.0,19,1,22.0,22,0.0,0,1,1,1,1,0.07026187900919467,0.07830869301687926,0.004974618088454008
150,375,2.5,0,1,14.0,14,0.0,0,1,1,1,1,0.07601273304317147,0.08401117706671357,0.0050384580390527844
