model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges,evaluation_type,training_set
tropical,shortest_path,id_new,,,,,3006022.0,30,60,2.0,17.0,0,29,,,1,15.0,15.0,0.0,0,1,1,1,1,0.0172982811927795,0.0199608635157346,0.0018699010834097,15.0,0.0,5,5,0.0005489299073815,0.0024188309907913,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3006023.0,30,60,2.0,18.0,0,29,,,1,17.0,17.0,0.0,2,0,0,1,1,0.0169265009462833,0.0196582516655325,0.001856742426753,17.0,0.0,5,5,0.0005953703075647,0.0024521127343177,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3006024.0,30,60,2.0,19.0,0,29,,,1,18.0,18.0,0.0,0,1,1,1,1,0.0169535111635923,0.0196994226425886,0.001884221099317,18.0,0.0,5,5,0.000540510751307,0.002424731850624,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009005.0,30,90,3.0,0.0,0,29,,,1,19.0,19.0,0.0,0,1,1,1,1,0.0219290442764759,0.0254461662843823,0.0019510108977556,19.0,0.0,5,5,0.0007549310103058,0.0027059419080615,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009006.0,30,90,3.0,1.0,0,29,,,1,20.0,20.0,0.0,0,1,1,1,1,0.0317544396966695,0.0370903341099619,0.001946990378201,20.0,0.0,5,5,0.0008344911038875,0.0027814814820885,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009007.0,30,90,3.0,2.0,0,29,,,1,26.0,21.0,0.1923076923076923,2,0,0,1,1,0.0221481034532189,0.0256409673020243,0.0019208807498216,26.0,0.0,5,5,0.000828051008284,0.0027489317581057,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009008.0,30,90,3.0,3.0,0,29,,,1,17.0,15.0,0.1176470588235294,2,0,0,1,1,0.0366077739745378,0.0401374856010079,0.0019262805581092,17.0,0.0,5,5,0.0008879518136382,0.0028142323717474,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009009.0,30,90,3.0,4.0,0,29,,,1,17.0,16.0,0.0588235294117647,2,0,0,1,1,0.0304923197254538,0.0340089220553636,0.0018997015431523,17.0,0.0,5,5,0.0008226698264479,0.0027223713696002,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009010.0,30,90,3.0,5.0,0,29,,,1,16.0,16.0,0.0,0,1,1,1,1,0.0229601748287677,0.0283423084765672,0.0019911909475922,16.0,0.0,5,5,0.0009023016318678,0.0028934925794601,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009011.0,30,90,3.0,6.0,0,29,,,1,21.0,21.0,0.0,0,1,1,1,1,0.0227865949273109,0.0262927263975143,0.0018856925889849,21.0,0.0,5,5,0.0008449191227555,0.0027306117117404,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009012.0,30,90,3.0,7.0,0,29,,,1,18.000000000000004,14.0,0.2222222222222223,2,0,0,1,1,0.0228401850908994,0.026327246800065,0.001878841780126,14.0,0.2222222222222223,5,5,0.0008547902107238,0.0027336319908499,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009013.0,30,90,3.0,8.0,0,29,,,1,12.0,12.0,0.0,0,1,1,1,1,0.0253932662308216,0.0289422487840056,0.0019375709816813,12.0,0.0,5,5,0.0007949313148856,0.0027325022965669,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009014.0,30,90,3.0,9.0,0,29,,,1,16.0,16.0,0.0,0,1,1,1,1,0.0223686946555972,0.0258615259081125,0.0018851812928915,16.0,0.0,5,5,0.0007440503686666,0.0026292316615581,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009015.0,30,90,3.0,10.0,0,29,,,1,13.0,13.0,0.0,0,1,1,1,1,0.0228670453652739,0.0263491468504071,0.0019125612452626,13.0,0.0,5,5,0.0007055113092064,0.0026180725544691,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009016.0,30,90,3.0,11.0,0,29,,,1,15.0,15.0,0.0,0,1,1,1,1,0.0221615238115191,0.0258268266916275,0.0018969504162669,15.0,0.0,5,5,0.0007315706461668,0.0026285210624337,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009017.0,30,90,3.0,12.0,0,29,,,1,2.0,2.0,0.0,0,1,1,1,1,0.021825804375112,0.0253231860697269,0.0019501009956002,2.0,0.0,5,5,0.0007041106000542,0.0026542115956544,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009018.0,30,90,3.0,13.0,0,29,,,1,21.0,21.0,0.0,0,1,1,1,1,0.0211699428036808,0.0245701251551508,0.0018629310652613,21.0,0.0,5,5,0.000770810060203,0.0026337411254644,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009019.0,30,90,3.0,14.0,0,29,,,1,24.0,24.0,0.0,2,0,0,1,1,0.0228026136755943,0.0262725260108709,0.0018669515848159,24.0,0.0,5,5,0.0008752513676881,0.0027422029525041,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009020.0,30,90,3.0,15.0,0,29,,,1,18.0,18.0,0.0,0,1,1,1,1,0.0240649851039052,0.0275183273479342,0.0019199214875698,18.0,0.0,5,5,0.0007888907566666,0.0027088122442364,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009021.0,30,90,3.0,16.0,0,29,,,1,18.000000000000025,16.0,0.1111111111111123,2,0,0,1,1,0.045432599261403,0.0506463227793574,0.0019587408751249,18.0,1.3816108750890817e-15,5,5,0.0009026601910591,0.002861401066184,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009022.0,30,90,3.0,17.0,0,29,,,1,31.0,24.0,0.2258064516129032,2,0,0,1,1,0.0239756759256124,0.0274481680244207,0.0018824208527803,31.0,0.0,5,5,0.0008956510573625,0.0027780719101428,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009023.0,30,90,3.0,18.0,0,29,,,1,12.0,12.0,0.0,2,0,0,1,1,0.0225999653339386,0.0260815974324941,0.0019435714930295,12.0,0.0,5,5,0.0007920498028397,0.0027356212958693,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3009024.0,30,90,3.0,19.0,0,29,,,1,18.0,15.0,0.1666666666666666,2,0,0,1,1,0.0238958559930324,0.0273677678778767,0.0018806410953402,18.0,0.0,5,5,0.0008081514388322,0.0026887925341725,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012005.0,30,120,4.0,0.0,0,29,,,1,22.0,22.0,0.0,0,1,1,1,1,0.0252233259379863,0.0313357999548316,0.0025330409407615,22.0,0.0,5,5,0.0010008607059717,0.0035339016467332,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012006.0,30,120,4.0,1.0,0,29,,,1,19.000000000000007,19.0,3.739698609263684e-16,0,1,1,1,1,0.0279456777498126,0.0322444112971425,0.0019850619137287,19.0,3.739698609263684e-16,5,5,0.0010765315964818,0.0030615935102105,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012007.0,30,120,4.0,2.0,0,29,,,1,11.0,11.0,0.0,0,1,1,1,1,0.0276658684015274,0.0319304196164011,0.0019330009818077,11.0,0.0,5,5,0.0008857008069753,0.002818701788783,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012008.0,30,120,4.0,3.0,0,29,,,1,14.0,14.0,0.0,0,1,1,1,1,0.0275447778403759,0.0337556218728423,0.001990701071918,14.0,0.0,5,5,0.0009174607694149,0.0029081618413329,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012009.0,30,120,4.0,4.0,0,29,,,1,31.0,22.0,0.2903225806451613,2,0,0,1,1,0.0260246256366372,0.0302846701815724,0.0018996112048625,31.0,0.0,5,5,0.0011071404442191,0.0030067516490817,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012010.0,30,120,4.0,5.0,0,29,,,1,27.0,27.0,0.0,0,1,1,1,1,0.0246939752250909,0.0289107281714677,0.0075271753594279,27.0,0.0,5,5,0.0010470608249306,0.0085742361843585,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012011.0,30,120,4.0,6.0,0,29,,,1,16.0,16.0,0.0,0,1,1,1,1,0.0251002460718154,0.0315068699419498,0.0020271511748433,16.0,0.0,5,5,0.0009447606280446,0.0029719118028879,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012012.0,30,120,4.0,7.0,0,29,,,1,8.0,5.0,0.375,2,0,0,1,1,0.0252756075933575,0.0294940592721104,0.0018920106813311,7.0,0.125,5,5,0.0009265700355172,0.0028185807168483,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012013.0,30,120,4.0,8.0,0,29,,,1,13.0,12.0,0.0769230769230769,2,0,0,1,1,0.0264075864106416,0.030638170428574,0.0019071819260716,13.0,0.0,5,5,0.0009474605321884,0.00285464245826,0,2,0,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012014.0,30,120,4.0,9.0,0,29,,,1,17.0,13.0,0.2352941176470588,2,0,0,1,1,0.0232755150645971,0.029236857779324,0.001943371258676,17.0,0.0,5,5,0.0009804405272006,0.0029238117858767,1,0,1,id_new,onein_reps100
tropical,shortest_path,id_new,,,,,3012015.0,30,120,4.0,10.0,0,29,,,1,13.0,11.0,0.1538461538461538,2,0,0,1,1,0.027770297601819,0.0319805508479476,0.0019059805199503,13.0,0.0,5,5,0.0010179104283452,0.0029238909482955,1,0,1,id_new,onein_reps100
