model_type,epoch,train_loss,val_loss,accuracy,precision,recall,f1,hamming,exact_match,average_gradient_norm,maximum_gradient_norm,best_epoch_so_far,epoch_time_seconds
transformer,1,0.8066328711682573,0.7436430157120548,0.9817432835820895,0.38666666666666666,0.4268192968111202,0.4057520404197435,3.397777777777778,0.10888888888888888,2.030701789401826,12.299335479736328,True,5.656369523145258
transformer,2,0.6839701489354089,0.732471469459249,0.9811701492537314,0.3688888888888889,0.4071954210956664,0.3870967741935484,3.5044444444444443,0.08666666666666667,2.3533409085727874,11.30332088470459,True,5.407289519906044
transformer,3,0.6754315843994882,0.7313389678428422,0.9814805970149254,0.37851851851851853,0.4178250204415372,0.3972017100660707,3.4466666666666668,0.09111111111111111,2.2601359556970144,11.174824714660645,True,5.725169328041375
transformer,4,0.6697478832094127,0.7227694635320066,0.9814567164179104,0.37777777777777777,0.4170073589533933,0.3964244073066459,3.451111111111111,0.08666666666666667,2.278582759357634,11.585637092590332,True,5.743061227723956
transformer,5,0.6609593550147544,0.7210485598471628,0.9814328358208956,0.37703703703703706,0.41618969746524936,0.39564710454722113,3.4555555555555557,0.08888888888888889,2.24681404987971,10.880054473876953,True,5.63561821822077
transformer,6,0.6492382344898631,0.7280564718637893,0.9816955223880597,0.3851851851851852,0.42518397383483236,0.40419743490089394,3.4066666666666667,0.09555555555555556,2.2661799260548183,10.577865600585938,False,5.561746472492814
transformer,7,0.6396587399585968,0.739939116285808,0.9817432835820895,0.38666666666666666,0.4268192968111202,0.4057520404197435,3.397777777777778,0.09777777777777778,2.272641003926595,8.773435592651367,False,5.545005043037236
transformer,8,0.6344802480531186,0.7396787816624143,0.9816716417910448,0.3844444444444444,0.4243663123466885,0.4034201321414691,3.411111111111111,0.09777777777777778,2.258800767149244,9.776337623596191,False,5.571043345145881
transformer,9,0.6238585786557752,0.7332564397890177,0.9821014925373134,0.3977777777777778,0.43908421913327883,0.41741158181111543,3.331111111111111,0.10222222222222223,2.3327958170005254,7.779653072357178,False,5.739286999218166
transformer,10,0.6145528670499367,0.7385448260271728,0.9821492537313433,0.39925925925925926,0.44071954210956665,0.4189661873299651,3.3222222222222224,0.10222222222222223,2.3888076239540466,10.21176528930664,False,5.735982243902981
transformer,11,0.6073259160868315,0.749777736415614,0.9823164179104478,0.40444444444444444,0.446443172526574,0.42440730664593856,3.2911111111111113,0.10222222222222223,2.546566424199513,11.744749069213867,False,5.50595220271498
transformer,12,0.5962054726534413,0.7530845055655757,0.982531343283582,0.4111111111111111,0.4538021259198692,0.4314030314807618,3.2511111111111113,0.10444444444444445,2.6447129484585354,11.546663284301758,False,5.760441772639751
transformer,13,0.5947014489955074,0.7599918046816071,0.982555223880597,0.41185185185185186,0.45461978740801307,0.43218033424018654,3.2466666666666666,0.1,3.055099704152062,16.10717010498047,False,5.698567697778344
transformer,14,0.5846559714762367,0.7664044581464867,0.9826746268656716,0.41555555555555557,0.45870809484873265,0.43606684803731055,3.2244444444444444,0.10666666666666667,3.181171923932575,15.79125690460205,False,5.69314279127866
transformer,15,0.5756462215334149,0.7708495837845909,0.9826029850746268,0.41333333333333333,0.4562551103843009,0.4337349397590361,3.2377777777777776,0.10666666666666667,3.360481039001828,13.348679542541504,False,5.599359918385744
transformer,16,0.575323012534004,0.7711684422146029,0.9824358208955224,0.40814814814814815,0.45053147996729354,0.4282938204430626,3.2688888888888887,0.10444444444444445,3.5108949660119557,21.040536880493164,False,5.68523917440325
transformer,17,0.5635620500499869,0.7844768318044606,0.9827223880597015,0.41703703703703704,0.4603434178250204,0.4376214535561601,3.2155555555555555,0.10666666666666667,3.6507211156118484,18.43152618408203,False,5.667425726540387
transformer,18,0.5530697402929854,0.7943897002984339,0.9827701492537313,0.4185185185185185,0.46197874080130824,0.4391760590750097,3.2066666666666666,0.1111111111111111,3.758330222425007,22.138704299926758,False,5.688045161776245
transformer,19,0.5508408454080761,0.8104949652279047,0.9827701492537313,0.4185185185185185,0.46197874080130824,0.4391760590750097,3.2066666666666666,0.1111111111111111,4.148805382592338,29.655750274658203,False,5.7346862982958555
transformer,20,0.5435612648741893,0.8247667180717881,0.9827462686567164,0.4177777777777778,0.46116107931316436,0.43839875631558495,3.2111111111111112,0.11555555555555555,4.059657831532615,20.631303787231445,False,5.809660718776286
transformer,21,0.5434930145131573,0.8350255483028604,0.9827462686567164,0.4177777777777778,0.46116107931316436,0.43839875631558495,3.2111111111111112,0.11555555555555555,4.28187027783621,34.06973648071289,False,5.743347283452749
transformer,22,0.5290056973247018,0.8516794001139811,0.9826746268656716,0.41555555555555557,0.45870809484873265,0.43606684803731055,3.2244444444444444,0.11333333333333333,4.354001473131634,31.2664852142334,False,5.607822553254664
transformer,23,0.5296194208705224,0.8726121016943188,0.9826985074626866,0.4162962962962963,0.45952575633687653,0.4368441507967353,3.22,0.11777777777777777,4.978929997171674,36.40730667114258,False,5.723882793448865
