source,sink,path_exists,shortest_path_cost,shortest_path_arcs
1,6,True,694.0540241159998,63
1,7,True,184.159473321,22
1,8,True,159.905843445,24
1,9,True,160.656519457,26
1,1077,True,803.2508109719998,62
2,6,True,418.98473348000005,35
2,7,True,201.887737014,22
2,8,True,274.522360997,39
2,9,True,274.912421437,39
2,1077,True,574.482408376,47
3,6,True,189.22622590600002,20
3,7,True,368.8264009859999,27
3,8,True,477.85883339900016,52
3,9,True,478.2488938390001,52
3,1077,True,344.72390080200006,32
4,6,True,534.176015424,45
4,7,True,57.701283215000004,14
4,8,True,115.75806531600003,22
4,9,True,116.14812575600001,22
4,1077,True,684.162852086,56
5,6,True,695.3262017360001,64
5,7,True,216.53378123100003,28
5,8,True,66.22743294600001,12
5,9,True,65.331542608,10
5,1077,True,842.995350102,70
10,6,True,396.47981587300006,28
10,7,True,261.80086080200005,25
10,8,True,363.53912251800017,46
10,9,True,363.9291829580001,46
10,1077,True,551.9774907689999,40
