
Generated 20 evaluation graphs for min_cost_flow.

Generated 40 evaluation graphs for min_cost_flow.

Generated 60 evaluation graphs for min_cost_flow.

Generated 80 evaluation graphs for min_cost_flow.

Generated 100 evaluation graphs for min_cost_flow.

Generated 120 evaluation graphs for min_cost_flow.

Generated 140 evaluation graphs for min_cost_flow.

Generated 160 evaluation graphs for min_cost_flow.

Generated 180 evaluation graphs for min_cost_flow.

Generated 200 evaluation graphs for min_cost_flow.

Generated 220 evaluation graphs for min_cost_flow.

Generated 240 evaluation graphs for min_cost_flow.

Generated 260 evaluation graphs for min_cost_flow.

Generated 280 evaluation graphs for min_cost_flow.

Generated 300 evaluation graphs for min_cost_flow.

Generated 320 evaluation graphs for min_cost_flow.

Generated 340 evaluation graphs for min_cost_flow.

Generated 360 evaluation graphs for min_cost_flow.

Generated 380 evaluation graphs for min_cost_flow.

Generated 400 evaluation graphs for min_cost_flow.

Generated 420 evaluation graphs for min_cost_flow.

Generated 440 evaluation graphs for min_cost_flow.

Generated 460 evaluation graphs for min_cost_flow.

Generated 480 evaluation graphs for min_cost_flow.

Generated 500 evaluation graphs for min_cost_flow.

Generated 520 evaluation graphs for min_cost_flow.

Generated 540 evaluation graphs for min_cost_flow.

Generated 560 evaluation graphs for min_cost_flow.

Evaluating attack limit K=1
K=1, n=100, m=300, rep=2 | Opt=447.00 | Pred=402.00 | Gap=0.1007 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=3 | Opt=299.00 | Pred=214.00 | Gap=0.2843 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=4 | Opt=196.00 | Pred=187.00 | Gap=0.0459 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=5 | Opt=284.00 | Pred=187.00 | Gap=0.3415 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=6 | Opt=412.00 | Pred=412.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=300, rep=7 | Opt=416.00 | Pred=368.00 | Gap=0.1154 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=8 | Opt=328.00 | Pred=299.00 | Gap=0.0884 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=9 | Opt=246.00 | Pred=246.00 | Gap=0.0000 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=10 | Opt=534.00 | Pred=502.00 | Gap=0.0599 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=11 | Opt=124.00 | Pred=122.00 | Gap=0.0161 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=12 | Opt=366.00 | Pred=338.00 | Gap=0.0765 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=13 | Opt=388.00 | Pred=344.00 | Gap=0.1134 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=14 | Opt=234.00 | Pred=189.00 | Gap=0.1923 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=15 | Opt=280.00 | Pred=278.00 | Gap=0.0071 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=16 | Opt=27.00 | Pred=18.00 | Gap=0.3333 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=17 | Opt=206.00 | Pred=187.00 | Gap=0.0922 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=18 | Opt=121.00 | Pred=80.00 | Gap=0.3388 | Hamming=2 | Exact=0
K=1, n=100, m=300, rep=19 | Opt=612.00 | Pred=588.00 | Gap=0.0392 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=0 | Opt=92.00 | Pred=64.00 | Gap=0.3043 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=1 | Opt=326.00 | Pred=326.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=2 | Opt=39.00 | Pred=32.00 | Gap=0.1795 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=3 | Opt=306.00 | Pred=242.00 | Gap=0.2092 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=4 | Opt=505.00 | Pred=473.00 | Gap=0.0634 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=5 | Opt=268.00 | Pred=246.00 | Gap=0.0821 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=6 | Opt=289.00 | Pred=276.00 | Gap=0.0450 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=7 | Opt=623.00 | Pred=623.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=8 | Opt=288.00 | Pred=282.00 | Gap=0.0208 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=9 | Opt=325.00 | Pred=300.00 | Gap=0.0769 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=10 | Opt=68.00 | Pred=58.00 | Gap=0.1471 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=11 | Opt=446.00 | Pred=422.00 | Gap=0.0538 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=12 | Opt=546.00 | Pred=546.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=13 | Opt=183.00 | Pred=182.00 | Gap=0.0055 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=14 | Opt=479.00 | Pred=410.00 | Gap=0.1441 | Hamming=2 | Exact=0
K=1, n=100, m=400, rep=15 | Opt=339.00 | Pred=339.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=16 | Opt=294.00 | Pred=294.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=17 | Opt=268.00 | Pred=268.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=18 | Opt=314.00 | Pred=314.00 | Gap=0.0000 | Hamming=0 | Exact=1
K=1, n=100, m=400, rep=19 | Opt=291.00 | Pred=261.00 | Gap=0.1031 | Hamming=2 | Exact=0
