Solved n=30, m=180, budget=1, density=6.00, rep=0, flow_demand=1, objective=45.00, mip_solve_time=0.0330
Solved n=30, m=180, budget=1, density=6.00, rep=1, flow_demand=1, objective=51.00, mip_solve_time=0.0481
Solved n=30, m=180, budget=1, density=6.00, rep=2, flow_demand=1, objective=19.00, mip_solve_time=0.0484
Solved n=30, m=180, budget=1, density=6.00, rep=3, flow_demand=1, objective=52.00, mip_solve_time=0.0728
Solved n=30, m=180, budget=1, density=6.00, rep=4, flow_demand=1, objective=54.00, mip_solve_time=0.0469
Solved n=30, m=180, budget=1, density=6.00, rep=5, flow_demand=1, objective=39.00, mip_solve_time=0.0454
Solved n=30, m=180, budget=1, density=6.00, rep=6, flow_demand=1, objective=56.00, mip_solve_time=0.0423
Solved n=30, m=180, budget=1, density=6.00, rep=7, flow_demand=1, objective=71.00, mip_solve_time=0.0450
Solved n=30, m=180, budget=1, density=6.00, rep=8, flow_demand=1, objective=63.00, mip_solve_time=0.0473
Solved n=30, m=180, budget=1, density=6.00, rep=9, flow_demand=1, objective=21.00, mip_solve_time=0.0345
Solved n=30, m=180, budget=1, density=6.00, rep=10, flow_demand=1, objective=80.00, mip_solve_time=0.0321
Solved n=30, m=180, budget=1, density=6.00, rep=11, flow_demand=1, objective=45.00, mip_solve_time=0.0317
Solved n=30, m=180, budget=1, density=6.00, rep=12, flow_demand=1, objective=55.00, mip_solve_time=0.0323
Solved n=30, m=180, budget=1, density=6.00, rep=13, flow_demand=1, objective=54.00, mip_solve_time=0.0320
Solved n=30, m=180, budget=1, density=6.00, rep=14, flow_demand=1, objective=75.00, mip_solve_time=0.0323
Solved n=30, m=180, budget=1, density=6.00, rep=15, flow_demand=1, objective=64.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=16, flow_demand=1, objective=48.00, mip_solve_time=0.0613
Solved n=30, m=180, budget=1, density=6.00, rep=17, flow_demand=1, objective=63.00, mip_solve_time=0.0329
Solved n=30, m=180, budget=1, density=6.00, rep=18, flow_demand=1, objective=40.00, mip_solve_time=0.0469
Solved n=30, m=180, budget=1, density=6.00, rep=19, flow_demand=1, objective=62.00, mip_solve_time=0.0331
Solved n=30, m=180, budget=1, density=6.00, rep=20, flow_demand=1, objective=46.00, mip_solve_time=0.0323
Solved n=30, m=180, budget=1, density=6.00, rep=21, flow_demand=1, objective=78.00, mip_solve_time=0.0449
Solved n=30, m=180, budget=1, density=6.00, rep=22, flow_demand=1, objective=68.00, mip_solve_time=0.0334
Solved n=30, m=180, budget=1, density=6.00, rep=23, flow_demand=1, objective=36.00, mip_solve_time=0.0325
Solved n=30, m=180, budget=1, density=6.00, rep=24, flow_demand=1, objective=63.00, mip_solve_time=0.0473
Solved n=30, m=180, budget=1, density=6.00, rep=25, flow_demand=1, objective=29.00, mip_solve_time=0.0461
Solved n=30, m=180, budget=1, density=6.00, rep=26, flow_demand=1, objective=57.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=27, flow_demand=1, objective=78.00, mip_solve_time=0.0475
Solved n=30, m=180, budget=1, density=6.00, rep=28, flow_demand=1, objective=49.00, mip_solve_time=0.0379
Solved n=30, m=180, budget=1, density=6.00, rep=29, flow_demand=1, objective=44.00, mip_solve_time=0.0341
Solved n=30, m=180, budget=1, density=6.00, rep=30, flow_demand=1, objective=54.00, mip_solve_time=0.0468
Solved n=30, m=180, budget=1, density=6.00, rep=31, flow_demand=1, objective=50.00, mip_solve_time=0.0453
Solved n=30, m=180, budget=1, density=6.00, rep=32, flow_demand=1, objective=40.00, mip_solve_time=0.0338
Solved n=30, m=180, budget=1, density=6.00, rep=33, flow_demand=1, objective=36.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=34, flow_demand=1, objective=53.00, mip_solve_time=0.0329
Solved n=30, m=180, budget=1, density=6.00, rep=35, flow_demand=1, objective=34.00, mip_solve_time=0.0336
Solved n=30, m=180, budget=1, density=6.00, rep=36, flow_demand=1, objective=39.00, mip_solve_time=0.0326
Solved n=30, m=180, budget=1, density=6.00, rep=37, flow_demand=1, objective=50.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=38, flow_demand=1, objective=54.00, mip_solve_time=0.0326
Solved n=30, m=180, budget=1, density=6.00, rep=39, flow_demand=1, objective=30.00, mip_solve_time=0.0335
Solved n=30, m=180, budget=1, density=6.00, rep=40, flow_demand=1, objective=36.00, mip_solve_time=0.0325
Solved n=30, m=180, budget=1, density=6.00, rep=41, flow_demand=1, objective=50.00, mip_solve_time=0.0325
Solved n=30, m=180, budget=1, density=6.00, rep=42, flow_demand=1, objective=52.00, mip_solve_time=0.0625
Solved n=30, m=180, budget=1, density=6.00, rep=43, flow_demand=1, objective=43.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=44, flow_demand=1, objective=45.00, mip_solve_time=0.0328
Solved n=30, m=180, budget=1, density=6.00, rep=45, flow_demand=1, objective=43.00, mip_solve_time=0.0460
Solved n=30, m=180, budget=1, density=6.00, rep=46, flow_demand=1, objective=44.00, mip_solve_time=0.0324
Solved n=30, m=180, budget=1, density=6.00, rep=47, flow_demand=1, objective=52.00, mip_solve_time=0.0327
Solved n=30, m=180, budget=1, density=6.00, rep=48, flow_demand=1, objective=48.00, mip_solve_time=0.0470
Solved n=30, m=180, budget=1, density=6.00, rep=49, flow_demand=1, objective=50.00, mip_solve_time=0.0335
Solved n=50, m=125, budget=1, density=2.50, rep=0, flow_demand=1, objective=23.00, mip_solve_time=0.0251
Solved n=50, m=125, budget=1, density=2.50, rep=7, flow_demand=1, objective=29.00, mip_solve_time=0.0274
Solved n=50, m=125, budget=1, density=2.50, rep=10, flow_demand=1, objective=34.00, mip_solve_time=0.0311
Solved n=50, m=125, budget=1, density=2.50, rep=18, flow_demand=1, objective=24.00, mip_solve_time=0.0251
Solved n=50, m=125, budget=1, density=2.50, rep=32, flow_demand=1, objective=31.00, mip_solve_time=0.0260
Solved n=50, m=125, budget=1, density=2.50, rep=33, flow_demand=1, objective=26.00, mip_solve_time=0.0309
Solved n=50, m=125, budget=1, density=2.50, rep=35, flow_demand=1, objective=38.00, mip_solve_time=0.0323
Solved n=50, m=125, budget=1, density=2.50, rep=38, flow_demand=1, objective=28.00, mip_solve_time=0.0318
Solved n=50, m=125, budget=1, density=2.50, rep=41, flow_demand=1, objective=57.00, mip_solve_time=0.0361
