node,lat,lon,supply
1,39.1786,-76.6663,20000
2,30.0793,-94.0897,30000
3,31.8475,-106.3821,35000
4,33.5612,-86.7512,32000
5,34.5853,-77.3583,37000
6,33.3079,-117.3115,-35000
7,36.6691,-87.4874,-45000
8,32.891999999999996,-80.0477,-12000
9,32.9045,-79.9629,-52000
10,27.8109,-97.4041,10000
11,39.1279,-75.4663,0
13,31.8125,-106.4213,0
14,35.1419,-78.9955,0
15,36.6651,-87.4792,0
16,38.7506,-104.796,0
17,44.0456,-75.7384,0
18,31.1398,-97.7657,0
19,39.0669,-96.7746,0
20,31.8928,-81.5965,0
21,31.075,-97.8255,0
22,30.3617,-89.0956,0
23,32.0107,-81.1424,0
24,48.0738,-122.7446,0
25,29.5216,-98.3946,0
35,29.5994,-97.9509,0
51,29.6972,-95.2888,0
62,29.6936,-96.5723,0
69,29.7289,-95.4604,0
80,29.7445,-95.3626,0
84,29.769000000000002,-95.3416,0
89,29.7706,-95.3655,0
99,29.7754,-95.3685,0
105,29.7756,-95.264,0
120,29.7993,-95.4498,0
124,29.8083,-95.3361,0
127,29.8141,-95.3755,0
139,29.8693,-97.9391,0
140,30.0504,-94.1445,0
141,30.0852,-90.4304,0
142,30.0948,-94.1005,0
143,30.1155,-93.821,0
144,30.1355,-94.0052,0
145,30.1666,-81.5547,0
146,30.1719,-81.5574,0
147,30.2254,-93.3074,0
148,30.2453,-93.1564,0
149,30.2465,-93.1804,0
150,30.2594,-92.0157,0
151,30.2666,-82.7542,0
152,30.3059,-89.7403,0
153,30.3059,-89.7403,0
154,30.3151,-81.7691,0
155,30.3215,-81.6813,0
156,30.4197,-91.1214,0
157,30.3485,-81.6683,0
158,30.4327,-89.0937,0
159,30.4594,-81.6494,0
160,30.4789,-90.4889,0
161,29.7806,-95.454,0
162,30.7528,-85.382,0
163,30.5171,-97.68799999999999,0
164,30.5787,-100.6476,0
165,30.6276,-88.1169,0
166,30.6892,-88.0385,0
167,30.7017,-97.652,0
168,30.7406,-88.1076,0
169,30.7533,-88.0947,0
170,30.8467,-93.289,0
171,30.8469,-93.2713,0
172,30.848000000000003,-93.289,0
173,31.0369,-104.8309,0
174,31.0465,-97.4666,0
175,31.0542,-98.1821,0
176,31.0884,-104.0569,0
177,31.0906,-97.3871,0
178,31.0567,-97.7655,0
179,31.109,-97.7475,0
180,31.1199,-97.7693,0
181,31.1375,-81.5749,0
182,31.1906,-85.4015,0
